name,type,nb_distance,distance,q_std,q_mod
C1,c3,3,3.190933562454724,-0.224908,-0.249966
C2,ca,2,2.8827946510287545,0.276304,0.229043
C3,ca,3,4.167656175837926,-0.453632,-0.470373
C4,ca,4,4.685098611555578,0.313545,0.323908
C5,ca,3,4.184308545028676,-0.046944,-0.068754
C6,ca,2,2.856061799051274,-0.168677,-0.241851
C7,ca,1,1.919733575265068,-0.161106,0.020692
Br1,br,0,0.0,-0.089378,-0.288562
C8,c3,4,5.392001761869149,0.365654,0.36414
C9,c3,5,5.663647411341916,-0.382464,-0.352286
C10,c3,5,5.7956568221384535,-0.382464,-0.352286
O1,oh,5,6.0566167123238035,-0.62943,-0.62137
H1,hc,4,3.076030884110236,0.076258,0.088078
H2,hc,4,4.282262252594999,0.076258,0.088078
H3,hc,4,3.0770121871711846,0.076258,0.088078
H4,ha,4,5.0293419052595745,0.186003,0.198435
H5,ha,3,2.920644107042144,0.166154,0.208837
H6,hc,5,6.260731267192356,0.015123,0.012093
H7,hc,6,5.766783245449754,0.088302,0.079495
H8,hc,6,5.1031185563339605,0.088302,0.079495
H9,hc,6,6.696112379582648,0.088302,0.079495
H10,hc,6,6.801144168446953,0.088302,0.079495
H11,hc,6,6.006254739852448,0.088302,0.079495
H12,hc,6,5.232128152100252,0.088302,0.079495
H13,ho,6,6.449231737191648,0.457636,0.451777
X,x,-1,-1.0,0.0,0.095321
