mol,dipole_qm
ZINC00000116,4.55280
ZINC00000900,5.62380
ZINC00001049,6.82730
ZINC00001059,2.53030
ZINC00001093,4.09750
ZINC00002755,2.14700
ZINC00002756,2.06220
ZINC00003750,0.36290
ZINC00007253,5.77190
ZINC00008563,3.60290
ZINC00009896,5.89460
ZINC00013614,4.06840
ZINC00015508,1.68470
ZINC00016970,3.91340
ZINC00018288,0.37370
ZINC00023690,6.06810
ZINC00027678,2.34730
ZINC00027891,2.86320
ZINC00027999,4.91160
ZINC00028151,2.02440
ZINC00028224,4.12920
ZINC00028225,4.12930
ZINC00028391,2.30180
ZINC00028461,5.07340
ZINC00028472,6.48010
ZINC00028577,9.13020
ZINC00028578,7.75460
ZINC00029148,3.25630
ZINC00029156,4.24640
ZINC00029216,3.50060
ZINC00029217,2.28990
ZINC00029219,3.79740
ZINC00029260,4.29190
ZINC00029261,4.19460
ZINC00029262,4.19500
ZINC00029264,4.14010
ZINC00029265,4.14050
ZINC00029267,5.60510
ZINC00029268,6.19290
ZINC00029541,3.67000
ZINC00029625,5.70360
ZINC00029628,4.54580
ZINC00029630,2.50670
ZINC00029631,2.45070
ZINC00029653,3.88580
ZINC00029684,4.55990
ZINC00029877,3.58610
ZINC00029881,3.58530
ZINC00029882,3.91060
ZINC00030349,4.92720
ZINC00030350,4.92680
ZINC00030388,3.59570
ZINC00030455,4.80170
ZINC00030456,4.78770
ZINC00030508,3.82800
ZINC00030512,5.70050
ZINC00030519,5.72150
ZINC00030523,4.93570
ZINC00030532,4.40090
ZINC00030541,5.68830
ZINC00030607,5.85620
ZINC00030672,5.65830
ZINC00030673,2.83540
ZINC00030674,2.83560
ZINC00030675,2.90890
ZINC00030676,2.90880
ZINC00030699,5.76340
ZINC00030760,4.32200
ZINC00030766,3.57950
ZINC00030772,4.24690
ZINC00030773,4.34210
ZINC00030829,3.14270
ZINC00030941,4.41610
ZINC00030960,5.61760
ZINC00030961,5.05700
ZINC00031266,7.50400
ZINC00031528,4.10610
ZINC00031715,4.75240
ZINC00031716,4.75300
ZINC00031835,2.28080
ZINC00031868,9.00530
ZINC00032313,4.11960
ZINC00032330,5.19110
ZINC00032333,3.98430
ZINC00032334,3.98470
ZINC00032362,2.23940
ZINC00032601,1.23790
ZINC00032648,4.05420
ZINC00032900,4.98320
ZINC00033120,7.77380
ZINC00033516,2.96620
ZINC00034056,3.15590
ZINC00034313,4.96090
ZINC00034390,2.08200
ZINC00034452,4.52280
ZINC00034453,4.52230
ZINC00034715,2.46170
ZINC00035110,5.13170
ZINC00035112,2.84400
ZINC00035305,4.10950
ZINC00035596,2.03600
ZINC00035658,2.12270
ZINC00035666,0.65610
ZINC00035730,3.87590
ZINC00035812,4.72110
ZINC00035824,2.65900
ZINC00036000,4.34030
ZINC00036065,5.97400
ZINC00036132,4.06600
ZINC00036590,6.47000
ZINC00036591,6.47020
ZINC00036594,2.58720
ZINC00036655,3.92160
ZINC00036701,6.14010
ZINC00037159,4.00510
