distance,dq
5.21065,0.05094
4.06291,0.02764
4.80364,0.01002
4.27019,-0.07120
2.99152,-0.10659
3.05856,0.00744
3.67990,0.05119
5.08379,0.00517
3.41962,0.00517
1.97810,0.48032
2.45936,-0.09465
2.94855,-0.20116
3.35565,0.04299
0.00000,-0.28809
5.11735,-0.01451
5.66791,-0.01451
6.06157,-0.01451
5.79484,-0.00310
5.11709,-0.00310
5.10122,0.01584
4.36565,0.01584
5.69252,-0.00434
5.20243,-0.00434
5.74867,-0.00434
4.40967,-0.00434
3.53660,-0.00434
2.73027,-0.00434
-1.00000,0.12487
5.83301,0.00939
5.92788,-0.01474
4.95471,0.00646
3.55991,0.03051
3.41476,0.00646
4.71628,-0.01474
2.91941,-0.10018
1.90097,0.19697
2.84625,-0.07783
3.06245,0.02699
0.00000,-0.17562
6.81739,-0.00052
6.96083,0.00284
5.44772,0.00351
2.61494,0.00351
5.05109,0.00284
3.85264,0.00386
3.85184,0.00949
-1.00000,0.08080
11.90691,-0.00174
10.81089,-0.00092
11.35284,-0.00174
9.50825,0.00608
9.32417,-0.00204
8.44435,-0.00587
7.02059,-0.00959
6.11657,0.00757
4.72532,0.02804
4.18250,-0.03741
2.87469,-0.07587
1.91567,0.23464
2.87457,-0.07587
4.17507,-0.03741
0.00000,-0.24035
12.56267,0.00052
12.56084,0.00052
11.57233,0.00052
11.98539,0.00052
12.05748,0.00052
10.63987,0.00052
8.64852,0.00129
8.70998,0.00129
7.00352,0.00286
6.97776,0.00286
6.57085,-0.00233
5.01409,0.01284
2.97995,0.03165
2.98012,0.03165
5.01895,0.01284
-1.00000,0.11447
3.19093,-0.02506
2.88279,-0.04726
4.16766,-0.01674
4.68510,0.01036
4.18431,-0.02181
2.85606,-0.07317
1.91973,0.18180
0.00000,-0.19918
5.39200,-0.00151
5.66365,0.03018
5.79566,0.03018
6.05662,0.00806
3.07603,0.01182
4.28226,0.01182
3.07701,0.01182
5.02934,0.01243
2.92064,0.04268
6.26073,-0.00303
5.76678,-0.00881
5.10312,-0.00881
6.69611,-0.00881
6.80114,-0.00881
6.00625,-0.00881
5.23213,-0.00881
6.44923,-0.00586
-1.00000,0.09532
4.33022,-0.06010
2.87130,-0.00982
2.04480,0.22205
2.89242,-0.00982
3.35609,-0.06010
2.95335,-0.02757
4.04889,-0.00924
3.06646,-0.00190
4.42708,0.00132
5.38759,0.00026
4.82058,-0.02110
0.00000,-0.26959
5.02520,0.01286
4.72227,0.01286
4.71303,0.01286
2.91645,0.00193
2.97423,0.00193
3.86644,0.00193
2.98761,0.00193
4.27716,0.01286
2.88480,0.01286
3.86677,0.01286
2.45404,0.02748
4.43176,0.00772
5.82283,0.00772
-1.00000,0.11776
5.93701,0.01136
4.61683,0.10265
4.10631,-0.10614
5.34962,0.07944
6.28621,-0.05105
2.82016,-0.07372
1.91738,0.26175
2.78484,0.02855
4.03153,-0.19210
5.10385,0.10125
5.31963,-0.04092
0.00000,-0.28424
5.04904,0.00898
6.41102,0.00898
5.04533,0.00898
5.99054,-0.02393
7.35247,0.00940
5.64081,-0.01794
2.99467,0.03941
-1.00000,0.12931
5.93823,0.00802
4.61781,0.08198
4.10727,-0.07293
5.35046,0.06731
6.28637,-0.04190
2.82075,-0.11080
1.91840,0.28889
2.78549,0.00960
4.03262,-0.17950
5.10530,0.11435
5.33562,-0.07269
6.85794,-0.00731
0.00000,-0.29604
7.35025,0.00373
7.26044,0.00373
7.35025,0.00373
5.01852,0.02201
5.01835,0.02201
