mol,n_atoms,max_dist,type1,d0num,d0mean,d0std,d1num,d1mean,d1std,d2num,d2mean,d2std,d3num,d3mean,d3std,d4num,d4mean,d4std
ZINC00000116,28,6,c3,1,-0.28809,nan,1,0.48032,nan,3,-0.13413,0.05835,5,0.01161,0.04920,6,0.01716,0.01722
ZINC00000900,19,7,cf,1,-0.17562,nan,1,0.19697,nan,2,-0.08900,0.01580,4,0.01771,0.01303,2,0.00646,0.00000
ZINC00001049,31,13,ca,1,-0.24035,nan,1,0.23464,nan,2,-0.07587,0.00000,4,-0.00288,0.03987,3,0.01791,0.00878
ZINC00001059,26,7,ca,1,-0.19918,nan,1,0.18180,nan,2,-0.06022,0.01832,4,-0.00523,0.03213,6,0.00946,0.00542
ZINC00001093,26,6,c3,1,-0.26959,nan,1,0.22205,nan,3,-0.01573,0.01025,8,-0.01545,0.02782,8,0.01325,0.00703
ZINC00002755,20,7,cd,1,-0.28424,nan,1,0.26175,nan,2,-0.02259,0.07232,3,-0.08628,0.11703,3,0.09445,0.01301
ZINC00002756,23,7,cd,1,-0.29604,nan,1,0.28889,nan,2,-0.05060,0.08513,3,-0.06780,0.11435,3,0.08788,0.02407
ZINC00003750,20,8,cd,1,-0.28827,nan,1,0.38962,nan,2,-0.18265,0.00455,4,0.03192,0.04060,3,0.01026,0.03454
ZINC00007253,21,8,ca,1,-0.25075,nan,1,0.24929,nan,2,-0.07866,0.01059,4,-0.00790,0.04948,3,0.03102,0.01504
ZINC00008563,29,13,c3,1,-0.15776,nan,1,0.29090,nan,3,-0.08071,0.02815,2,0.03584,0.05551,2,-0.02695,0.00667
ZINC00009896,26,7,cd,1,-0.31812,nan,1,0.34203,nan,2,-0.12120,0.03584,4,-0.00598,0.06589,3,0.03760,0.02705
ZINC00013614,15,7,ca,1,-0.24320,nan,1,0.23788,nan,2,-0.07684,0.00000,4,-0.00228,0.03931,3,0.01600,0.00413
ZINC00015508,26,6,ca,1,-0.28213,nan,1,0.39669,nan,2,-0.23546,0.07634,4,0.07512,0.05033,3,-0.01325,0.00730
ZINC00016970,24,10,ca,1,-0.24293,nan,1,0.28006,nan,2,-0.11896,0.03272,4,0.01389,0.03319,4,0.01600,0.02141
ZINC00018288,18,6,cc,1,-0.31231,nan,1,0.35412,nan,2,-0.15352,0.06286,4,0.02586,0.05829,4,0.00356,0.02373
ZINC00023690,23,12,ca,1,-0.24895,nan,1,0.25487,nan,2,-0.09111,0.00000,4,0.00636,0.03254,3,0.00761,0.00586
ZINC00027678,26,10,ca,1,-0.24696,nan,1,0.25195,nan,2,-0.08535,0.00000,4,0.00025,0.03829,3,0.01536,0.00513
ZINC00027891,25,11,c3,1,-0.20729,nan,1,0.37648,nan,3,-0.09113,0.00889,3,-0.00836,0.04565,4,0.01145,0.02555
ZINC00027999,24,10,ca,1,-0.25726,nan,1,0.25329,nan,2,-0.07760,0.00141,4,-0.01161,0.05520,3,0.04325,0.02684
ZINC00028151,26,6,ca,1,-0.24698,nan,1,0.26570,nan,2,-0.10420,0.01929,4,0.01171,0.03496,4,0.00777,0.01256
ZINC00028224,28,9,c3,1,-0.21018,nan,1,0.19587,nan,3,-0.08481,0.07513,5,0.03766,0.02813,2,-0.02522,0.02137
ZINC00028225,28,9,c3,1,-0.21124,nan,1,0.19240,nan,3,-0.08619,0.07840,5,0.03981,0.02960,2,-0.02724,0.02242
ZINC00028391,27,9,ca,1,-0.26301,nan,1,0.25688,nan,2,-0.11283,0.03424,4,0.02767,0.04607,5,-0.00464,0.02830
ZINC00028461,23,8,ca,1,-0.27239,nan,1,0.30976,nan,2,-0.14416,0.04538,4,0.02883,0.04833,4,0.00267,0.03784
ZINC00028472,24,12,cc,1,-0.31404,nan,1,0.31840,nan,2,-0.08299,0.10614,3,-0.01427,0.10412,2,0.03931,0.04985
ZINC00028577,23,7,ca,1,-0.25766,nan,1,0.25210,nan,2,-0.07347,0.00760,4,-0.01579,0.05777,3,0.04109,0.02244
ZINC00028578,23,10,ca,1,-0.25736,nan,1,0.26114,nan,2,-0.09519,0.01848,4,0.00199,0.04458,3,0.03182,0.02159
ZINC00029148,30,12,ca,1,-0.26249,nan,1,0.26761,nan,2,-0.09048,0.00000,4,0.00173,0.03822,3,0.01246,0.00112
ZINC00029156,33,6,ca,1,-0.27138,nan,1,0.27030,nan,2,-0.11008,0.04116,4,0.02270,0.05479,5,-0.00011,0.02055
ZINC00029216,30,12,ca,1,-0.26904,nan,1,0.26929,nan,2,-0.08998,0.00000,4,0.00053,0.04101,3,0.01424,0.00150
ZINC00029217,25,10,ca,1,-0.26826,nan,1,0.26598,nan,2,-0.08221,0.00000,4,-0.00285,0.04158,3,0.01421,0.00007
ZINC00029219,33,11,ca,1,-0.26295,nan,1,0.26008,nan,2,-0.08228,0.00000,4,-0.00137,0.04056,3,0.01229,0.00202
ZINC00029260,30,8,ca,1,-0.24840,nan,1,0.22833,nan,2,-0.08269,0.02439,4,0.01154,0.05634,5,0.00410,0.02441
ZINC00029261,33,7,ca,1,-0.27264,nan,1,0.27406,nan,2,-0.10713,0.02855,4,0.01662,0.05093,5,0.00464,0.01735
ZINC00029262,33,7,ca,1,-0.27182,nan,1,0.27424,nan,2,-0.10880,0.02537,4,0.01953,0.05079,5,0.00300,0.01632
ZINC00029264,36,6,ca,1,-0.23814,nan,1,0.24189,nan,2,-0.10344,0.03453,4,0.02582,0.05173,5,-0.00401,0.02164
ZINC00029265,36,6,ca,1,-0.23404,nan,1,0.23119,nan,2,-0.09554,0.02807,4,0.02221,0.04892,5,-0.00252,0.02037
ZINC00029267,34,6,ca,1,-0.27594,nan,1,0.26892,nan,2,-0.11176,0.05657,4,0.02031,0.05833,5,0.00437,0.02275
ZINC00029268,34,7,ca,1,-0.27712,nan,1,0.28715,nan,2,-0.12184,0.03885,4,0.02907,0.05893,5,-0.00733,0.02995
ZINC00029541,26,12,ca,1,-0.26142,nan,1,0.27794,nan,2,-0.10445,0.00000,4,0.00915,0.03291,3,0.00789,0.00644
ZINC00029625,30,12,ca,1,-0.23104,nan,1,0.24970,nan,2,-0.09852,0.01002,4,0.00801,0.03369,3,0.02586,0.03578
ZINC00029628,27,12,ca,1,-0.26726,nan,1,0.27392,nan,2,-0.09478,0.00000,4,0.00364,0.03741,3,0.01149,0.00117
ZINC00029630,34,11,ca,1,-0.26319,nan,1,0.26241,nan,2,-0.08457,0.00000,4,-0.00002,0.03932,3,0.01100,0.00365
ZINC00029631,34,10,ca,1,-0.26091,nan,1,0.25994,nan,2,-0.08394,0.00000,4,0.00014,0.03876,3,0.01078,0.00331
ZINC00029653,29,12,ca,1,-0.23168,nan,1,0.24842,nan,2,-0.09684,0.00932,4,0.00812,0.03336,3,0.02507,0.03703
ZINC00029684,24,8,ca,1,-0.23521,nan,1,0.24863,nan,2,-0.09229,0.02077,4,0.00376,0.03724,3,0.02596,0.02808
ZINC00029877,25,9,ca,1,-0.25856,nan,1,0.25410,nan,2,-0.08170,0.00989,4,-0.00878,0.05450,3,0.04068,0.02485
ZINC00029881,26,10,ca,1,-0.25713,nan,1,0.25273,nan,2,-0.07986,0.00018,4,-0.00766,0.05171,3,0.03803,0.02594
ZINC00029882,28,9,ca,1,-0.26638,nan,1,0.27651,nan,2,-0.09530,0.00362,4,-0.00123,0.04452,3,0.02641,0.01422
ZINC00030349,32,9,ca,1,-0.28905,nan,1,0.30723,nan,2,-0.12906,0.04753,4,0.01977,0.05418,5,0.00358,0.02478
ZINC00030350,32,9,ca,1,-0.28722,nan,1,0.30498,nan,2,-0.12701,0.04831,4,0.01909,0.05428,5,0.00359,0.02465
ZINC00030388,32,13,ca,1,-0.26193,nan,1,0.26422,nan,2,-0.08893,0.00000,4,0.00227,0.03744,3,0.01129,0.00161
ZINC00030455,34,11,ca,1,-0.25079,nan,1,0.25911,nan,2,-0.08713,0.00000,4,-0.00120,0.04015,3,0.01472,0.00082
ZINC00030456,34,11,ca,1,-0.24646,nan,1,0.24837,nan,2,-0.08018,0.00000,4,-0.00273,0.03992,3,0.01478,0.00113
ZINC00030508,30,12,ca,1,-0.24255,nan,1,0.24981,nan,2,-0.08285,0.00000,4,-0.00207,0.03909,3,0.01556,0.00295
ZINC00030512,26,13,ca,1,-0.25272,nan,1,0.25454,nan,2,-0.08352,0.00000,4,-0.00022,0.03804,3,0.01245,0.00040
ZINC00030519,20,9,ca,1,-0.26061,nan,1,0.26375,nan,2,-0.08998,0.00000,4,0.00037,0.04080,3,0.01446,0.00156
ZINC00030523,26,9,ca,1,-0.26788,nan,1,0.29481,nan,2,-0.11671,0.00000,4,0.01354,0.03126,3,0.00658,0.00640
ZINC00030532,29,11,ca,1,-0.24784,nan,1,0.25382,nan,2,-0.08595,0.00000,4,0.00022,0.03792,3,0.01315,0.00016
ZINC00030541,34,12,ca,1,-0.25637,nan,1,0.25928,nan,2,-0.08481,0.00000,4,-0.00042,0.03893,3,0.01258,0.00002
ZINC00030607,32,11,ca,1,-0.25623,nan,1,0.26078,nan,2,-0.08875,0.00000,4,0.00212,0.03730,3,0.01098,0.00156
ZINC00030672,32,10,ca,1,-0.24000,nan,1,0.23889,nan,2,-0.06724,0.00331,4,-0.01748,0.06213,3,0.04571,0.03146
ZINC00030673,29,10,ca,1,-0.25064,nan,1,0.25446,nan,2,-0.08003,0.00408,4,-0.01483,0.06137,3,0.05498,0.04189
ZINC00030674,29,10,ca,1,-0.25137,nan,1,0.25502,nan,2,-0.08029,0.00422,4,-0.01450,0.06124,3,0.05495,0.04330
ZINC00030675,32,11,ca,1,-0.24900,nan,1,0.25369,nan,2,-0.07980,0.00440,4,-0.01501,0.06153,3,0.05572,0.04408
ZINC00030676,32,11,ca,1,-0.24976,nan,1,0.25259,nan,2,-0.07916,0.00356,4,-0.01571,0.06313,3,0.05770,0.04598
ZINC00030699,36,11,ca,1,-0.26406,nan,1,0.26791,nan,2,-0.08695,0.00000,4,-0.00030,0.03994,3,0.00930,0.00761
ZINC00030760,32,11,ca,1,-0.24669,nan,1,0.25126,nan,2,-0.08398,0.00000,4,-0.00049,0.03812,3,0.01375,0.00118
ZINC00030766,29,11,ca,1,-0.25907,nan,1,0.26295,nan,2,-0.08904,0.00000,4,0.00166,0.03802,3,0.01178,0.00114
ZINC00030772,35,13,ca,1,-0.25267,nan,1,0.25975,nan,2,-0.08767,0.00000,4,-0.00045,0.03967,3,0.01403,0.00001
ZINC00030773,35,11,ca,1,-0.25089,nan,1,0.25878,nan,2,-0.08963,0.00000,4,0.00155,0.03751,3,0.01327,0.00070
ZINC00030829,32,11,ca,1,-0.23369,nan,1,0.24827,nan,2,-0.09177,0.00683,4,0.00829,0.02875,3,0.00502,0.00671
ZINC00030941,30,11,ca,1,-0.26322,nan,1,0.26730,nan,2,-0.09132,0.00000,4,0.00274,0.03768,3,0.01170,0.00160
ZINC00030960,30,9,ca,1,-0.26795,nan,1,0.27009,nan,2,-0.10191,0.03597,4,0.00805,0.04895,5,0.00690,0.02453
ZINC00030961,30,8,ca,1,-0.27336,nan,1,0.27427,nan,2,-0.10191,0.03806,4,0.00648,0.04789,5,0.01337,0.01470
ZINC00031266,26,10,cd,1,-0.27484,nan,1,0.32199,nan,2,-0.13651,0.04855,4,0.02180,0.03535,3,0.01591,0.02240
ZINC00031528,26,9,ca,1,-0.22717,nan,1,0.21084,nan,2,-0.06017,0.00900,4,-0.00832,0.02686,6,0.00829,0.00487
ZINC00031715,33,11,ca,1,-0.24625,nan,1,0.25444,nan,2,-0.09043,0.00000,4,0.00344,0.03569,3,0.01145,0.00100
ZINC00031716,33,11,ca,1,-0.25265,nan,1,0.26979,nan,2,-0.09839,0.00000,4,0.00581,0.03424,3,0.00962,0.00418
ZINC00031835,22,11,cc,1,-0.32897,nan,1,0.33533,nan,2,-0.08472,0.09928,3,-0.01819,0.09922,2,0.04242,0.04837
ZINC00031868,29,12,ca,1,-0.22593,nan,1,0.23986,nan,2,-0.08750,0.00000,4,0.00367,0.03252,3,0.01358,0.00369
ZINC00032313,12,6,cd,1,-0.22638,nan,1,0.21235,nan,2,-0.05305,0.06320,3,-0.00607,0.04284,2,0.02273,0.01686
ZINC00032330,16,6,cd,1,-0.27864,nan,1,0.30630,nan,2,-0.11031,0.00357,4,0.00896,0.03815,6,0.00608,0.01034
ZINC00032333,24,9,ca,1,-0.25205,nan,1,0.25847,nan,2,-0.08963,0.00000,4,0.00313,0.03605,3,0.01092,0.00098
ZINC00032334,24,9,ca,1,-0.25398,nan,1,0.26247,nan,2,-0.08740,0.00000,4,0.00086,0.03713,3,0.01111,0.00207
ZINC00032362,26,10,cd,1,-0.26989,nan,1,0.32684,nan,2,-0.12471,0.03949,4,0.00965,0.05463,1,0.07486,nan
ZINC00032601,21,10,ca,1,-0.25968,nan,1,0.26681,nan,2,-0.09292,0.00000,4,0.00436,0.03583,3,0.00986,0.00235
ZINC00032648,16,8,ca,1,-0.26256,nan,1,0.28395,nan,2,-0.11335,0.00314,4,0.01649,0.01987,4,0.00326,0.01196
ZINC00032900,30,10,ca,1,-0.23197,nan,1,0.23584,nan,2,-0.07951,0.00155,4,0.00056,0.03884,3,0.01939,0.02309
ZINC00033120,25,11,ca,1,-0.26758,nan,1,0.27380,nan,2,-0.09301,0.00000,4,0.00347,0.03677,3,0.01007,0.00437
ZINC00033516,32,9,ca,1,-0.22896,nan,1,0.25433,nan,2,-0.13295,0.05277,4,0.04592,0.05167,5,-0.00955,0.02807
ZINC00034056,27,13,ca,1,-0.32817,nan,1,0.42604,nan,2,-0.19917,0.01695,4,0.03327,0.03903,2,0.02570,0.05131
ZINC00034313,23,8,ca,1,-0.24049,nan,1,0.24195,nan,2,-0.07772,0.00718,4,-0.00724,0.04850,3,0.03891,0.01378
ZINC00034390,22,11,cc,1,-0.32350,nan,1,0.33089,nan,2,-0.08354,0.09885,3,-0.01847,0.10204,2,0.04389,0.05232
ZINC00034452,30,11,ca,1,-0.21708,nan,1,0.20623,nan,2,-0.06365,0.00791,4,-0.00610,0.02470,6,0.00901,0.00512
ZINC00034453,30,11,ca,1,-0.21633,nan,1,0.21024,nan,2,-0.06642,0.00681,4,-0.00476,0.02385,6,0.00822,0.00568
ZINC00034715,25,10,cc,1,-0.22894,nan,1,0.26511,nan,2,-0.08665,0.03341,4,-0.01741,0.04698,7,0.02024,0.01817
ZINC00035110,28,7,ca,1,-0.20922,nan,1,0.25235,nan,2,-0.11754,0.03704,4,0.02158,0.03128,4,0.00659,0.01664
ZINC00035112,29,9,ca,1,-0.25030,nan,1,0.25158,nan,2,-0.09027,0.01839,4,-0.00166,0.03057,6,0.01558,0.00449
ZINC00035305,29,11,ca,1,-0.24631,nan,1,0.25277,nan,2,-0.08660,0.00000,4,0.00218,0.03554,3,0.01199,0.00098
ZINC00035596,28,8,ca,1,-0.22711,nan,1,0.23553,nan,2,-0.09853,0.01847,4,0.01353,0.03064,5,0.01491,0.02145
ZINC00035658,33,11,cd,1,-0.28371,nan,1,0.29707,nan,2,-0.07766,0.07549,3,-0.01678,0.08261,2,0.05267,0.06446
ZINC00035666,25,9,cc,1,-0.29464,nan,1,0.30330,nan,2,-0.07591,0.08200,3,-0.01790,0.08551,2,0.04722,0.05541
ZINC00035730,19,7,cd,1,-0.29887,nan,1,0.34764,nan,2,-0.15170,0.00646,4,0.02727,0.02264,3,0.00239,0.00494
ZINC00035812,22,10,ca,1,-0.25074,nan,1,0.25807,nan,2,-0.08268,0.00000,4,-0.00150,0.03781,3,0.01310,0.00139
ZINC00035824,16,5,cd,1,-0.23589,nan,1,0.23407,nan,2,-0.07043,0.01685,4,-0.00825,0.03402,7,0.00925,0.00748
ZINC00036000,27,8,ca,1,-0.21687,nan,1,0.25095,nan,2,-0.10671,0.00000,4,0.00994,0.03200,3,0.03791,0.03048
ZINC00036065,29,10,ca,1,-0.27642,nan,1,0.27119,nan,2,-0.09421,0.03304,4,0.00095,0.05382,5,0.01541,0.01914
ZINC00036132,23,10,ca,1,-0.24819,nan,1,0.25223,nan,2,-0.08335,0.00000,4,-0.00209,0.04045,3,0.01589,0.00268
ZINC00036590,24,8,c3,1,-0.14218,nan,1,0.19746,nan,3,-0.06374,0.02279,4,0.00940,0.01740,4,0.01181,0.00434
ZINC00036591,24,8,c3,1,-0.14078,nan,1,0.20431,nan,3,-0.06437,0.02282,4,0.00789,0.01924,4,0.01184,0.00498
ZINC00036594,24,8,ca,1,-0.25612,nan,1,0.24386,nan,2,-0.10529,0.03658,4,0.02472,0.04395,5,-0.00275,0.02639
ZINC00036655,28,13,ca,1,-0.23137,nan,1,0.24151,nan,2,-0.08218,0.00142,4,-0.00245,0.04185,3,0.02730,0.02207
ZINC00036701,24,8,c3,1,-0.16037,nan,1,0.35113,nan,3,-0.11081,0.04927,2,0.04081,0.00428,4,-0.00923,0.02776
ZINC00037159,24,11,ca,1,-0.26199,nan,1,0.26641,nan,2,-0.09371,0.00000,4,0.00456,0.03594,3,0.01211,0.00028
ZINC00037171,22,10,cd,1,-0.28364,nan,1,0.34711,nan,2,-0.13507,0.03135,4,0.00966,0.06318,1,0.08354,nan
ZINC00037182,25,10,cd,1,-0.27695,nan,1,0.33541,nan,2,-0.12866,0.03125,4,0.00849,0.05957,1,0.07415,nan
ZINC00037185,25,11,cd,1,-0.27352,nan,1,0.32917,nan,2,-0.12734,0.02188,4,0.00946,0.05355,1,0.06756,nan
ZINC00037188,25,11,cd,1,-0.27786,nan,1,0.33253,nan,2,-0.13138,0.02644,4,0.01290,0.04980,1,0.05935,nan
ZINC00037192,24,9,ca,1,-0.27303,nan,1,0.28068,nan,2,-0.09982,0.00980,4,0.00028,0.04729,3,0.03109,0.02002
ZINC00037546,31,12,ca,1,-0.26187,nan,1,0.26847,nan,2,-0.09702,0.00000,4,0.00689,0.03487,3,0.00878,0.00445
ZINC00037547,31,12,ca,1,-0.25897,nan,1,0.26670,nan,2,-0.09267,0.00000,4,0.00416,0.03574,3,0.00992,0.00370
ZINC00037791,28,6,ca,1,-0.28424,nan,1,0.34596,nan,2,-0.18143,0.06471,4,0.04561,0.03082,5,-0.00756,0.01061
ZINC00037794,32,10,ca,1,-0.21141,nan,1,0.19473,nan,2,-0.04817,0.00848,4,-0.00990,0.02521,6,0.00548,0.01381
ZINC00037813,25,10,ca,1,-0.24574,nan,1,0.24649,nan,2,-0.07871,0.00721,4,-0.00579,0.04513,3,0.02952,0.01517
ZINC00037878,34,10,ca,1,-0.24277,nan,1,0.24579,nan,2,-0.07600,0.00258,4,-0.01043,0.04965,3,0.03791,0.02502
ZINC00037963,29,9,ca,1,-0.23654,nan,1,0.21836,nan,2,-0.06141,0.01225,4,-0.01500,0.05977,3,0.04310,0.02502
ZINC00038071,28,11,ca,1,-0.23970,nan,1,0.23234,nan,2,-0.07809,0.01030,4,-0.00347,0.04700,3,0.03240,0.01936
ZINC00038487,30,13,ca,1,-0.26731,nan,1,0.27582,nan,2,-0.09739,0.00000,4,0.00543,0.03603,3,0.00999,0.00289
ZINC00038504,30,10,ca,1,-0.26171,nan,1,0.26096,nan,2,-0.08291,0.00306,4,-0.00652,0.04909,3,0.03519,0.02330
ZINC00038555,36,10,ca,1,-0.22673,nan,1,0.21413,nan,2,-0.06206,0.00566,4,-0.01156,0.03155,6,0.01383,0.00816
ZINC00038566,33,9,ca,1,-0.23218,nan,1,0.20806,nan,2,-0.05462,0.00103,4,-0.01525,0.03440,6,0.01574,0.01014
ZINC00038579,36,12,ca,1,-0.21738,nan,1,0.19092,nan,2,-0.04790,0.00535,4,-0.01867,0.03634,6,0.01871,0.01140
ZINC00038585,25,8,ca,1,-0.33039,nan,1,0.44082,nan,2,-0.25836,0.00000,4,0.09262,0.01376,5,-0.03787,0.02701
ZINC00038598,31,9,ca,1,-0.21145,nan,1,0.18721,nan,2,-0.05117,0.01705,4,-0.01361,0.03340,6,0.01713,0.01168
ZINC00039013,35,12,ca,1,-0.24944,nan,1,0.25781,nan,2,-0.09002,0.00000,4,0.00205,0.03685,3,0.01321,0.00121
ZINC00039337,24,11,ca,1,-0.23709,nan,1,0.23218,nan,2,-0.07990,0.00141,4,-0.00151,0.04227,3,0.02833,0.01695
ZINC00039347,28,12,ca,1,-0.26036,nan,1,0.26421,nan,2,-0.08264,0.00413,4,-0.00855,0.05103,3,0.03667,0.02565
ZINC00039383,22,9,ca,1,-0.25069,nan,1,0.25277,nan,2,-0.08228,0.00000,4,-0.00166,0.03918,3,0.01576,0.00397
ZINC00039555,15,7,ca,1,-0.26087,nan,1,0.26409,nan,2,-0.09288,0.00000,4,0.00470,0.03611,3,0.01198,0.00053
ZINC00039643,17,7,ca,1,-0.23653,nan,1,0.24209,nan,2,-0.08648,0.00393,4,0.00380,0.03752,3,0.02055,0.02809
ZINC00039645,20,11,ca,1,-0.25676,nan,1,0.25585,nan,2,-0.08697,0.00000,4,0.00331,0.03569,3,0.01064,0.00228
ZINC00039672,23,8,ca,1,-0.16473,nan,1,0.18641,nan,2,-0.08189,0.00327,4,0.01588,0.01582,5,0.00116,0.00315
ZINC00039686,26,7,cd,1,-0.31812,nan,1,0.34261,nan,2,-0.09153,0.12984,3,-0.00528,0.16893,5,0.01238,0.05519
ZINC00039698,27,7,cc,1,-0.23658,nan,1,0.22922,nan,2,-0.04540,0.06855,3,-0.02086,0.07813,5,0.00305,0.04258
ZINC00039699,27,7,cc,1,-0.24307,nan,1,0.22884,nan,2,-0.03913,0.06139,3,-0.02739,0.07512,5,0.00839,0.04014
ZINC00039775,23,9,ca,1,-0.23837,nan,1,0.24114,nan,2,-0.07494,0.00698,4,-0.00725,0.04622,3,0.03282,0.02156
