mol,q_sigma,q_x,stderr,dipole
ZINC00000116,0.124869,-0.386344,0.00095,4.60699
ZINC00000900,0.080798,-0.196754,0.00120,5.66740
ZINC00001049,0.114473,-0.343004,0.00171,7.02851
ZINC00001059,0.095321,-0.288562,0.00088,2.56237
ZINC00001093,0.117763,-0.452420,0.00138,4.13247
ZINC00002755,0.129313,-0.342762,0.00148,2.20149
ZINC00002756,0.139461,-0.370282,0.00129,2.13069
ZINC00003750,0.123673,-0.249035,0.00146,0.46327
ZINC00007253,0.114978,-0.296373,0.00182,5.82527
ZINC00008563,0.070153,-0.225982,0.00112,3.61892
ZINC00009896,0.145728,-0.337494,0.00179,5.97598
ZINC00013614,0.115698,-0.352391,0.00081,4.11706
ZINC00015508,0.113898,-0.309955,0.00160,1.66795
ZINC00016970,0.105729,-0.268674,0.00207,4.01762
ZINC00018288,0.139022,-0.351934,0.00099,0.37106
ZINC00023690,0.117477,-0.335917,0.00180,6.19992
ZINC00027678,0.115750,-0.308648,0.00151,2.30129
ZINC00027891,0.090843,-0.287142,0.00167,2.92251
ZINC00027999,0.120326,-0.325990,0.00167,4.82930
ZINC00028151,0.114375,-0.329888,0.00104,2.01083
ZINC00028224,0.111103,-0.355861,0.00145,4.27247
ZINC00028225,0.112308,-0.359893,0.00146,4.26932
ZINC00028391,0.121890,-0.295837,0.00102,2.29492
ZINC00028461,0.123486,-0.329529,0.00121,5.08737
ZINC00028472,0.148116,-0.299223,0.00178,6.56050
ZINC00028577,0.120059,-0.300802,0.00191,9.07744
ZINC00028578,0.120778,-0.320100,0.00197,7.63681
ZINC00029148,0.122526,-0.323864,0.00126,3.33525
ZINC00029156,0.121183,-0.335289,0.00185,4.70424
ZINC00029216,0.126833,-0.340411,0.00180,3.68825
ZINC00029217,0.122641,-0.314175,0.00127,2.37023
ZINC00029219,0.123822,-0.333697,0.00116,3.86910
ZINC00029260,0.109925,-0.313982,0.00120,4.33619
ZINC00029261,0.123196,-0.340766,0.00112,4.26525
ZINC00029262,0.122657,-0.337517,0.00112,4.27103
ZINC00029264,0.117714,-0.344881,0.00168,4.47992
ZINC00029265,0.116023,-0.339376,0.00168,4.47498
ZINC00029267,0.126617,-0.314967,0.00135,5.59016
ZINC00029268,0.125956,-0.352347,0.00140,6.24817
ZINC00029541,0.122287,-0.351226,0.00160,3.76813
ZINC00029625,0.107920,-0.311022,0.00134,5.79665
ZINC00029628,0.125419,-0.325418,0.00123,4.64925
ZINC00029630,0.117332,-0.330624,0.00183,2.86183
ZINC00029631,0.119347,-0.329014,0.00144,2.61933
ZINC00029653,0.107814,-0.308509,0.00132,3.94105
ZINC00029684,0.110907,-0.298629,0.00123,4.62846
ZINC00029877,0.118377,-0.305703,0.00115,3.63630
ZINC00029881,0.120732,-0.328579,0.00107,3.61810
ZINC00029882,0.121997,-0.335888,0.00165,4.12447
ZINC00030349,0.134075,-0.324595,0.00124,5.11494
ZINC00030350,0.133139,-0.320782,0.00120,5.10221
ZINC00030388,0.122606,-0.327626,0.00154,3.93481
ZINC00030455,0.116734,-0.336760,0.00151,4.91109
ZINC00030456,0.115439,-0.330381,0.00152,4.89395
ZINC00030508,0.113209,-0.318511,0.00150,4.15333
ZINC00030512,0.118792,-0.338262,0.00194,5.79675
ZINC00030519,0.122817,-0.351562,0.00084,5.77394
ZINC00030523,0.122199,-0.349780,0.00223,5.22943
ZINC00030532,0.115528,-0.330456,0.00158,4.72902
ZINC00030541,0.119383,-0.347798,0.00134,5.86536
ZINC00030607,0.120187,-0.350050,0.00137,5.98272
ZINC00030672,0.109904,-0.302630,0.00122,5.73462
ZINC00030673,0.115649,-0.321630,0.00129,2.93262
ZINC00030674,0.116017,-0.322548,0.00127,2.93636
ZINC00030675,0.114728,-0.320371,0.00130,2.98668
ZINC00030676,0.115285,-0.321417,0.00131,2.98679
ZINC00030699,0.121792,-0.357612,0.00139,5.89511
ZINC00030760,0.110384,-0.328277,0.00191,4.80812
ZINC00030766,0.121556,-0.331442,0.00104,3.61814
ZINC00030772,0.118251,-0.333708,0.00173,4.60127
ZINC00030773,0.117932,-0.336633,0.00172,4.72578
ZINC00030829,0.107797,-0.289622,0.00128,3.32347
ZINC00030941,0.124517,-0.334066,0.00128,4.56000
ZINC00030960,0.124917,-0.305609,0.00114,5.65587
ZINC00030961,0.124894,-0.314637,0.00107,5.11546
ZINC00031266,0.122157,-0.267111,0.00106,7.54733
ZINC00031528,0.108307,-0.303669,0.00106,4.12659
ZINC00031715,0.115415,-0.334182,0.00142,4.92863
ZINC00031716,0.117370,-0.339776,0.00145,4.93225
ZINC00031835,0.154707,-0.314463,0.00188,2.29584
ZINC00031868,0.105128,-0.327516,0.00194,9.15192
ZINC00032313,0.107558,-0.181481,0.00124,4.13797
ZINC00032330,0.123230,-0.293463,0.00097,5.21279
ZINC00032333,0.118213,-0.325095,0.00120,4.02336
ZINC00032334,0.118252,-0.324612,0.00122,4.01439
ZINC00032362,0.121785,-0.293343,0.00148,2.27577
ZINC00032601,0.121723,-0.323850,0.00139,1.26067
ZINC00032648,0.119258,-0.284692,0.00176,3.99161
