mol,q_x,stderr,dipole
ZINC00000116,-0.098249,0.00121,4.64651
ZINC00000900,-0.021132,0.00138,5.68487
ZINC00001049,-0.102654,0.00193,7.08878
ZINC00001059,-0.089378,0.00110,2.59916
ZINC00001093,-0.182827,0.00202,4.45676
ZINC00002755,-0.058522,0.00188,2.19268
ZINC00002756,-0.074241,0.00167,2.19794
ZINC00003750,0.039239,0.00163,0.44809
ZINC00007253,-0.045626,0.00205,5.83079
ZINC00008563,-0.068222,0.00121,3.56432
ZINC00009896,-0.019371,0.00205,6.04847
ZINC00013614,-0.109193,0.00134,4.17888
ZINC00015508,-0.027822,0.00175,1.60128
ZINC00016970,-0.025741,0.00217,4.01760
ZINC00018288,-0.039626,0.00141,0.41370
ZINC00023690,-0.086963,0.00202,6.24956
ZINC00027678,-0.061688,0.00175,2.26131
ZINC00027891,-0.079850,0.00181,3.00766
ZINC00027999,-0.068727,0.00191,4.84256
ZINC00028151,-0.082912,0.00133,2.04248
ZINC00028224,-0.145680,0.00169,4.31067
ZINC00028225,-0.148652,0.00170,4.30845
ZINC00028391,-0.032832,0.00134,2.31189
ZINC00028461,-0.057139,0.00155,5.07857
ZINC00028472,0.014812,0.00208,6.63841
ZINC00028577,-0.043139,0.00213,9.12793
ZINC00028578,-0.062743,0.00218,7.61969
ZINC00029148,-0.061376,0.00155,3.32256
ZINC00029156,-0.063911,0.00230,4.80092
ZINC00029216,-0.071375,0.00204,3.69257
ZINC00029217,-0.045919,0.00164,2.45965
ZINC00029219,-0.070749,0.00149,3.88050
ZINC00029260,-0.065581,0.00157,4.29900
ZINC00029261,-0.068126,0.00145,4.25389
ZINC00029262,-0.065693,0.00144,4.26206
ZINC00029264,-0.106739,0.00207,4.54673
ZINC00029265,-0.105336,0.00205,4.53644
ZINC00029267,-0.039024,0.00166,5.59267
ZINC00029268,-0.075224,0.00163,6.26836
ZINC00029541,-0.089810,0.00186,3.82200
ZINC00029625,-0.079978,0.00157,5.85571
ZINC00029628,-0.058161,0.00155,4.62316
ZINC00029630,-0.067437,0.00219,2.87384
ZINC00029631,-0.068101,0.00178,2.61811
ZINC00029653,-0.076832,0.00155,4.00425
ZINC00029684,-0.063421,0.00152,4.59407
