name,type,nb_distance,distance,q_std,q_mod
C1,c3,11,11.371089921375171,-0.54154,-0.542038
C2,c3,10,11.37952200226354,0.4193,0.420737
C3,c3,11,12.77583539342927,-0.54154,-0.542038
N1,n3,9,10.432597471387458,-0.613883,-0.613809
N2,n,8,9.087959727023442,-0.390577,-0.388238
C4,c,7,8.18162661088857,0.778326,0.775453
O1,o,8,8.585113918871432,-0.561718,-0.561432
C5,c3,6,6.771411521979741,-0.183555,-0.182494
O2,os,5,5.9109989003551675,-0.33235,-0.331855
C6,ca,4,4.548876564603617,0.474573,0.488072
C7,ca,3,4.027380910716045,-0.352129,-0.361253
C8,ca,2,2.7361567937528726,-0.027126,-0.134739
C9,ca,1,1.7614579188842405,-0.064747,0.182361
C10,ca,2,2.732524290834392,-0.027126,-0.134739
C11,ca,3,4.03563105350328,-0.352129,-0.361253
Cl1,cl,0,0.0,-0.124113,-0.328988
H1,hc,12,12.179051933545567,0.153483,0.153591
H2,hc,12,10.441844185774848,0.153483,0.153591
H3,hc,12,11.651872896663438,0.153483,0.153591
H4,h1,11,11.27455298448679,-0.002745,-0.003832
H5,hc,12,12.939841768738905,0.153483,0.153591
H6,hc,12,13.541966770007967,0.153483,0.153591
H7,hc,12,13.036056804110665,0.153483,0.153591
H8,hn,10,10.737042469879682,0.370455,0.369951
H9,hn,9,8.87732358315275,0.309538,0.308753
H10,h1,7,6.778503817215123,0.087728,0.088049
H11,h1,7,6.702787330655807,0.087728,0.088049
H12,ha,4,4.895115524683764,0.185558,0.193321
H13,ha,3,2.873639678178181,0.147809,0.184342
H14,ha,3,2.8694743421051876,0.147809,0.184342
H15,ha,4,4.875304093079733,0.185558,0.193321
X,x,-1,-1.0,0.0,0.08841
