mol,dipole_qm
ZINC00000061,6.93160
ZINC00000134,5.41780
ZINC00000135,5.25350
ZINC00000136,5.46640
ZINC00000178,2.33730
ZINC00000267,1.95040
ZINC00000290,3.95120
ZINC00000463,5.94590
ZINC00000563,4.40240
ZINC00000887,5.30650
ZINC00000999,3.36570
ZINC00001008,1.32650
ZINC00001116,4.23360
ZINC00001122,2.11230
ZINC00001124,2.46320
ZINC00001130,2.52570
ZINC00001132,1.93680
ZINC00001192,1.36550
ZINC00001209,2.31370
ZINC00001469,5.29600
ZINC00001577,6.07110
ZINC00001627,2.48750
ZINC00001640,5.13030
ZINC00001807,2.54030
ZINC00001815,5.13440
ZINC00001885,2.28880
ZINC00002088,5.65030
ZINC00003421,1.96060
ZINC00004152,4.27860
ZINC00004285,3.40230
ZINC00004618,2.47400
ZINC00004726,3.22830
ZINC00005160,7.56670
ZINC00005262,2.65980
ZINC00005921,7.27390
ZINC00006038,1.60950
ZINC00006642,4.63850
ZINC00007573,1.19130
ZINC00007580,3.63440
ZINC00011304,7.56590
ZINC00012803,0.66640
ZINC00014479,3.73620
ZINC00018298,4.03890
ZINC00018299,2.38350
ZINC00018720,3.99410
ZINC00019526,3.72090
ZINC00020228,3.71460
ZINC00021238,4.52550
ZINC00021858,7.82330
ZINC00022040,3.58320
ZINC00022043,4.74610
ZINC00023689,6.05580
ZINC00023745,1.48180
ZINC00023885,1.82450
ZINC00023886,3.39770
ZINC00024217,3.79390
ZINC00025294,5.94790
ZINC00025451,6.92840
ZINC00025696,4.80990
ZINC00025879,4.46100
ZINC00027660,2.12790
ZINC00027725,4.28570
ZINC00027803,3.66800
ZINC00028159,5.54280
ZINC00028221,6.51250
ZINC00028243,2.52860
ZINC00028344,6.01580
ZINC00028347,4.25860
ZINC00028348,2.39250
ZINC00028360,2.44700
ZINC00028500,5.43100
ZINC00028525,7.34650
ZINC00028531,4.12280
ZINC00028579,6.60200
ZINC00028580,8.33780
ZINC00029150,3.49600
ZINC00029151,3.49580
ZINC00029153,4.49700
ZINC00029154,4.49660
ZINC00029232,3.50680
ZINC00029233,3.80670
ZINC00029234,3.80900
ZINC00029235,5.56360
ZINC00029248,4.35550
ZINC00029249,4.33170
ZINC00029250,4.40850
ZINC00029251,5.85080
ZINC00029252,5.30170
ZINC00029253,4.74500
ZINC00029498,3.98780
ZINC00029499,4.33270
ZINC00029502,7.71010
ZINC00029529,4.39100
ZINC00029530,5.06740
ZINC00029539,0.86030
ZINC00029540,3.67600
ZINC00029566,4.41880
ZINC00029633,6.48750
ZINC00029636,3.68340
ZINC00029652,4.00870
ZINC00029707,2.72110
ZINC00029708,5.20000
ZINC00029709,3.12780
ZINC00029710,3.12740
ZINC00029712,6.66880
ZINC00029714,5.04050
ZINC00029715,2.10280
ZINC00029716,2.14920
ZINC00029717,1.53730
ZINC00029719,4.73700
ZINC00029720,2.73990
ZINC00029721,2.35320
ZINC00029722,4.79030
ZINC00029779,4.99710
ZINC00029804,5.67480
ZINC00030308,4.55690
ZINC00030312,6.18280
ZINC00030347,5.01810
ZINC00030348,5.01760
ZINC00030389,5.01710
ZINC00030398,5.05020
ZINC00030453,4.86030
ZINC00030454,4.86030
ZINC00030490,5.33100
ZINC00030491,5.48660
ZINC00030492,5.56590
ZINC00030531,4.10360
ZINC00030533,3.35160
ZINC00030540,5.68850
ZINC00030651,6.53880
ZINC00030754,3.52320
ZINC00030758,5.53900
ZINC00030759,5.53900
ZINC00030834,5.41550
ZINC00030839,5.69480
ZINC00030877,6.46640
ZINC00030878,6.46630
ZINC00030879,3.24720
ZINC00030880,3.24700
ZINC00030883,2.90090
ZINC00030884,2.90080
ZINC00030893,5.47150
ZINC00030894,5.47150
ZINC00030899,6.01130
ZINC00030900,6.01120
ZINC00030945,0.67740
ZINC00030948,3.45900
ZINC00030954,5.69450
ZINC00030955,5.69360
ZINC00031213,3.54880
ZINC00031297,0.87820
ZINC00031299,4.65980
ZINC00031316,1.73350
ZINC00031536,3.83400
ZINC00031541,6.77540
ZINC00031791,3.82370
ZINC00032072,6.03640
ZINC00032325,5.57140
ZINC00032394,6.81400
ZINC00032508,4.35080
ZINC00032540,3.62160
ZINC00032830,5.47170
ZINC00032955,0.58230
ZINC00033496,1.55210
ZINC00034175,7.18670
ZINC00034630,7.71370
ZINC00035015,0.37820
ZINC00035154,1.21680
ZINC00035192,7.12290
ZINC00035200,0.66630
ZINC00035201,0.65670
ZINC00035307,4.10470
ZINC00035399,1.66160
ZINC00035727,4.19320
