distance,dq
4.02501,-0.00717
2.72990,-0.12203
1.75850,0.27989
2.72936,-0.12203
4.02412,-0.00717
4.56186,-0.00619
6.08424,0.03479
6.49281,-0.01177
6.83740,0.00075
8.18795,0.00469
9.07369,-0.00275
8.60389,-0.00228
6.72604,-0.00679
8.17825,-0.00468
0.00000,-0.22250
4.87453,0.00992
2.86890,0.03970
2.86715,0.03970
4.86936,0.00992
6.35312,-0.00281
7.15769,-0.00281
6.68128,0.00177
6.38009,0.00177
8.47098,0.00041
8.76411,0.00234
8.72719,0.00041
-1.00000,0.09491
4.59827,0.02688
5.31115,-0.01828
5.00049,0.02688
3.84490,-0.00394
2.78206,-0.09774
3.31376,-0.00394
1.83988,0.34186
0.00000,-0.14603
2.75443,-0.10990
3.68038,0.00364
3.12979,0.01804
4.28931,0.01520
5.01219,-0.00857
5.13888,-0.00796
2.36578,-0.07794
6.35360,0.00138
5.88496,-0.00631
4.06304,-0.00543
3.11817,-0.00543
5.27301,-0.00631
5.95931,0.00436
5.91993,-0.00041
4.91827,0.00436
-1.00000,0.05560
4.03590,-0.01342
2.73290,-0.10120
1.76176,0.24507
2.73672,-0.10120
4.02801,-0.01342
4.55131,0.01300
5.91056,0.00267
6.77775,-0.00311
8.18413,-0.00367
8.35431,0.00003
9.26106,0.00656
10.49248,-0.00020
8.55883,-0.00002
0.00000,-0.20457
4.87682,0.00856
2.87046,0.03433
2.87369,0.03433
4.89448,0.00856
6.73113,0.00129
6.75875,0.00129
9.26058,-0.00189
9.26477,-0.00189
11.20484,-0.00078
9.52224,0.00014
-1.00000,0.08954
4.02737,-0.00313
2.73618,-0.11643
1.76132,0.26162
2.73228,-0.11643
4.03482,-0.00313
4.55073,0.00537
5.90990,0.00244
6.78026,-0.00091
8.19000,-0.00215
8.36510,0.00005
9.24781,0.00205
10.56509,0.00003
11.18615,0.00218
10.79275,-0.00080
12.47105,-0.00143
8.56201,-0.00104
0.00000,-0.21023
4.89423,0.00704
2.87366,0.03794
2.87032,0.03794
4.87581,0.00704
6.77664,0.00067
6.71609,0.00067
9.26058,-0.00101
9.25271,-0.00101
12.78203,0.00006
13.03216,0.00006
9.07435,0.00103
-1.00000,0.09152
6.70623,0.00818
5.77410,0.01469
6.75100,0.00818
4.67524,0.00525
3.58765,-0.02558
3.13839,0.02311
2.73728,0.01448
2.76189,-0.10230
4.04369,0.00780
4.54275,0.00590
4.01706,-0.00926
2.71223,-0.08278
1.77202,0.21008
0.00000,-0.18029
4.48014,0.00335
7.17265,-0.00386
7.57394,-0.00386
6.36901,-0.00386
5.56350,-0.00653
7.17916,-0.00386
6.45197,-0.00386
7.63861,-0.00386
4.25556,0.01254
3.00241,0.01254
4.89236,0.00556
5.62882,-0.00160
4.86027,0.00635
2.81483,0.03136
4.97531,-0.00348
4.47615,-0.00449
-1.00000,0.07014
4.98554,0.00279
5.02853,0.04997
4.15143,-0.14451
2.71440,-0.09814
1.75153,0.22290
0.00000,-0.17175
5.00830,0.08282
5.88287,-0.03064
4.53457,0.03814
4.19766,-0.00145
5.92285,-0.00145
5.20724,-0.00145
6.02745,-0.00656
5.17382,-0.00656
2.89139,0.03923
2.39569,-0.04252
6.74510,0.00604
4.53266,-0.00921
-1.00000,0.07236
4.02446,0.01300
2.73119,-0.14220
1.75863,0.29765
2.73004,-0.14220
4.02484,0.01300
4.56332,-0.02089
6.07486,0.04240
6.79826,-0.01901
6.58861,0.00371
8.30076,0.00140
8.80100,-0.00095
9.15346,0.00103
6.84351,0.00755
0.00000,-0.22338
4.87491,0.00518
2.86832,0.04347
2.86720,0.04347
4.87363,0.00518
6.54899,-0.00959
6.55563,-0.00959
6.12044,-0.00157
6.92960,-0.00157
8.66675,-0.00138
-1.00000,0.09531
9.13642,-0.00118
8.57752,0.01148
9.42077,-0.00267
8.08399,-0.01055
6.61463,0.01129
6.61536,-0.00236
6.35519,-0.01933
7.60548,-0.00302
5.22049,0.05493
5.41712,-0.01569
4.02898,-0.05440
2.72788,-0.09448
1.75789,0.25373
2.73018,-0.10349
4.02747,-0.01802
4.53524,0.03673
5.91081,-0.00785
0.00000,-0.21126
8.45077,-0.00014
9.60542,-0.00014
9.97747,-0.00014
8.73638,0.00202
8.26756,0.00202
2.89745,0.03584
2.86232,0.03566
4.89210,0.00862
-1.00000,0.09240
6.26998,0.01429
6.11989,-0.02214
7.15762,0.00321
7.07084,-0.01087
5.95806,-0.01425
5.24080,0.09248
4.13191,-0.15649
2.75199,-0.07345
2.94655,0.01238
1.81819,0.36759
0.00000,-0.18729
3.10562,0.00509
5.90612,0.00284
6.95659,0.00001
5.06660,0.00001
6.52829,-0.00234
7.21369,-0.00234
5.51595,-0.00234
7.93758,0.00429
4.39281,0.02784
4.46432,0.02784
2.37462,-0.08246
2.37051,-0.08246
2.66385,0.00569
-1.00000,0.07289
4.54966,0.02671
4.04115,-0.01700
2.75478,-0.12548
1.74751,0.29605
2.69396,-0.12304
3.98861,-0.03505
5.15277,0.04761
6.24762,-0.01438
5.19411,-0.01438
0.00000,-0.24502
3.13632,0.07222
3.16835,-0.01379
4.20710,-0.02738
5.63208,-0.00205
4.90132,0.01010
2.83707,0.04701
4.46622,0.00610
4.77215,0.00610
-1.00000,0.10567
8.52247,-0.00103
7.27153,-0.00286
6.10181,0.01353
4.92705,-0.01323
5.10811,-0.00895
4.48428,0.00188
6.48282,0.01171
7.47141,-0.00278
8.62242,0.00006
7.19127,0.00610
4.06177,-0.02154
5.01938,0.01683
6.17593,-0.00496
2.73209,-0.07627
1.81026,0.23041
0.00000,-0.16939
9.30804,0.00016
8.83059,0.00016
8.54234,0.00016
8.01161,-0.00224
7.72899,-0.00224
6.59052,-0.00224
5.04503,-0.00575
2.88088,0.02246
2.95334,0.02246
2.37676,-0.04507
2.37671,-0.04507
-1.00000,0.07770
4.54480,-0.01690
4.01966,0.00999
2.72547,-0.14040
1.75657,0.29768
2.72891,-0.14040
4.01946,0.00999
0.00000,-0.22726
6.04397,0.02637
6.81296,-0.01703
8.23896,0.00268
8.99995,0.00323
10.32719,-0.00015
11.14439,-0.00063
6.73813,-0.00745
8.63899,-0.00217
4.86196,0.00661
2.86208,0.04359
2.86536,0.04359
4.88599,0.00661
6.58105,0.00559
8.65515,-0.00051
8.58679,-0.00051
10.73221,-0.00049
10.56770,0.00034
-1.00000,0.09761
4.03619,0.00871
2.73529,-0.13221
1.75975,0.28532
2.73231,-0.13221
4.02398,0.00871
4.55794,-0.01826
5.96031,0.02993
7.00431,-0.01475
6.98993,0.00158
8.26779,0.00243
9.36389,-0.00019
9.25708,0.00192
8.20235,0.00190
10.47971,-0.00115
0.00000,-0.21740
4.89080,0.00691
2.87260,0.04007
2.87495,0.04007
4.87555,0.00691
6.41809,-0.00949
8.53117,-0.00190
11.29861,-0.00006
10.63916,-0.00006
-1.00000,0.09323
4.03650,-0.01258
2.73497,-0.08421
