mol,n_atoms,max_dist,type1,d0num,d0mean,d0std,d1num,d1mean,d1std,d2num,d2mean,d2std,d3num,d3mean,d3std,d4num,d4mean,d4std
ZINC00000061,27,9,ca,1,-0.22250,nan,1,0.27989,nan,2,-0.12203,0.00000,4,0.01627,0.02706,3,0.00455,0.00931
ZINC00000134,24,6,c3,1,-0.14603,nan,1,0.34186,nan,3,-0.09519,0.01613,4,0.00345,0.01036,5,0.01162,0.01628
ZINC00000135,25,11,ca,1,-0.20457,nan,1,0.24507,nan,2,-0.10120,0.00000,4,0.01046,0.02757,3,0.01004,0.00256
ZINC00000136,29,13,ca,1,-0.21023,nan,1,0.26162,nan,2,-0.11643,0.00000,4,0.01741,0.02371,3,0.00648,0.00096
ZINC00000178,31,8,ca,1,-0.18029,nan,1,0.21008,nan,2,-0.09254,0.01380,4,0.01325,0.01790,6,0.00168,0.01389
ZINC00000267,19,7,c2,1,-0.17175,nan,1,0.22290,nan,2,-0.07033,0.03933,2,-0.05264,0.12993,3,0.05698,0.02315
ZINC00000290,24,9,ca,1,-0.22338,nan,1,0.29765,nan,2,-0.14220,0.00000,4,0.02824,0.01759,3,-0.00351,0.01505
ZINC00000463,27,10,ca,1,-0.21126,nan,1,0.25373,nan,2,-0.09898,0.00637,4,-0.00023,0.04412,3,0.03343,0.02333
ZINC00000563,25,8,c3,1,-0.18729,nan,1,0.36759,nan,3,-0.07946,0.00520,3,-0.04634,0.09546,4,0.03847,0.03749
ZINC00000887,19,6,ca,1,-0.24502,nan,1,0.29605,nan,2,-0.12426,0.00172,4,0.01680,0.05104,5,0.00865,0.03020
ZINC00000999,28,9,c3,1,-0.16939,nan,1,0.23041,nan,3,-0.05547,0.01801,3,0.00779,0.02541,2,0.00180,0.02126
ZINC00001008,25,11,ca,1,-0.22726,nan,1,0.29768,nan,2,-0.14040,0.00000,4,0.02679,0.01940,3,-0.00122,0.01357
ZINC00001116,24,11,ca,1,-0.21740,nan,1,0.28532,nan,2,-0.13221,0.00000,4,0.02439,0.01810,3,-0.00148,0.01453
ZINC00001122,21,6,ca,1,-0.17671,nan,1,0.20428,nan,2,-0.07909,0.00725,4,0.00270,0.02386,6,0.00863,0.02421
ZINC00001124,17,6,ca,1,-0.18596,nan,1,0.22007,nan,2,-0.08815,0.00451,4,0.00616,0.01800,6,0.00570,0.00416
ZINC00001130,26,7,ca,1,-0.17501,nan,1,0.19993,nan,2,-0.08559,0.01563,4,0.00803,0.02398,6,0.00514,0.00363
ZINC00001132,20,6,ca,1,-0.13653,nan,1,0.13960,nan,2,-0.04349,0.00000,4,-0.00708,0.00032,9,0.00574,0.00372
ZINC00001192,18,7,c3,1,-0.18382,nan,1,0.27986,nan,3,-0.05941,0.00253,3,-0.00150,0.02425,2,-0.00382,0.00236
