mol,q_sigma,q_x,stderr,dipole
ZINC00000061,0.094910,-0.335322,0.00144,6.95107
ZINC00000134,0.055597,-0.288810,0.00157,5.40692
ZINC00000135,0.089544,-0.331051,0.00179,5.35702
ZINC00000136,0.091519,-0.338137,0.00154,5.51231
ZINC00000178,0.070135,-0.297110,0.00152,2.39978
ZINC00000267,0.072364,-0.281189,0.00150,1.93117
ZINC00000290,0.095306,-0.335981,0.00139,4.01876
ZINC00000463,0.092395,-0.316115,0.00138,6.01867
ZINC00000563,0.072893,-0.344748,0.00171,4.44278
ZINC00000887,0.105674,-0.295161,0.00119,5.32579
ZINC00000999,0.077701,-0.350938,0.00174,3.51046
ZINC00001008,0.097613,-0.328627,0.00185,1.51565
ZINC00001116,0.093227,-0.343372,0.00124,4.23700
ZINC00001122,0.078135,-0.295908,0.00137,2.11480
ZINC00001124,0.082495,-0.309701,0.00114,2.47105
ZINC00001130,0.078585,-0.300514,0.00105,2.54577
ZINC00001132,0.060208,-0.247688,0.00177,2.04043
ZINC00001192,0.080331,-0.408740,0.00234,1.33250
ZINC00001209,0.078544,-0.282305,0.00136,2.26883
ZINC00001469,0.081881,-0.382936,0.00136,5.28273
ZINC00001577,0.088410,-0.328988,0.00208,6.54220
ZINC00001627,0.091575,-0.334327,0.00151,2.50931
ZINC00001640,0.092898,-0.329223,0.00158,5.20678
ZINC00001807,0.093760,-0.351724,0.00180,2.53948
ZINC00001815,0.098434,-0.346378,0.00133,5.21496
ZINC00001885,0.091849,-0.329445,0.00154,2.33704
ZINC00002088,0.094760,-0.246686,0.00126,5.63349
ZINC00003421,0.081748,-0.303316,0.00117,1.95798
ZINC00004152,0.087781,-0.309764,0.00147,4.32090
ZINC00004285,0.084066,-0.310861,0.00169,3.44325
ZINC00004618,0.094262,-0.302180,0.00141,2.64548
ZINC00004726,0.099470,-0.328773,0.00119,3.24485
ZINC00005160,0.109214,-0.363371,0.00131,7.55178
ZINC00005262,0.104922,-0.354041,0.00139,2.71468
ZINC00005921,0.093323,-0.313292,0.00127,7.28469
ZINC00006038,0.093576,-0.348047,0.00153,1.67500
ZINC00006642,0.093280,-0.256211,0.00134,4.62148
ZINC00007573,0.081402,-0.258432,0.00185,1.15123
ZINC00007580,0.089738,-0.342257,0.00240,3.61494
ZINC00011304,0.096746,-0.348321,0.00162,7.69211
ZINC00012803,0.095186,-0.327477,0.00191,0.69849
ZINC00014479,0.088500,-0.327106,0.00141,3.80253
ZINC00018298,0.089963,-0.318222,0.00119,4.10343
ZINC00018299,0.093702,-0.320682,0.00131,2.44576
ZINC00018720,0.095827,-0.322280,0.00107,4.01419
ZINC00019526,0.096843,-0.323838,0.00165,3.59358
ZINC00020228,0.093038,-0.329863,0.00205,3.96480
ZINC00021238,0.097032,-0.268837,0.00123,4.55586
ZINC00021858,0.097836,-0.337093,0.00132,7.85406
ZINC00022040,0.104418,-0.340335,0.00111,3.66638
ZINC00022043,0.102122,-0.302189,0.00133,4.81998
ZINC00023689,0.091911,-0.339197,0.00199,6.13320
ZINC00023745,0.088393,-0.293874,0.00128,1.60447
ZINC00023885,0.102976,-0.327022,0.00158,2.11704
ZINC00023886,0.099679,-0.319671,0.00143,3.45230
ZINC00024217,0.091756,-0.283580,0.00104,3.83011
ZINC00025294,0.096496,-0.308647,0.00171,6.19227
ZINC00025451,0.095182,-0.334826,0.00119,6.99351
ZINC00025696,0.108712,-0.301961,0.00337,4.73277
ZINC00025879,0.086571,-0.302010,0.00143,4.56016
ZINC00027660,0.081389,-0.216469,0.00153,2.14335
ZINC00027725,0.107350,-0.381275,0.00149,4.30954
ZINC00027803,0.086062,-0.293833,0.00136,3.82307
ZINC00028159,0.096805,-0.326394,0.00215,5.68820
ZINC00028221,0.062570,-0.295247,0.00175,6.72582
ZINC00028243,0.098505,-0.324180,0.00129,2.63958
ZINC00028344,0.085098,-0.339708,0.00136,6.03022
ZINC00028347,0.055446,-0.299398,0.00189,4.35291
ZINC00028348,0.064336,-0.289401,0.00152,2.41044
ZINC00028360,0.081375,-0.310199,0.00131,2.52863
ZINC00028500,0.084006,-0.304028,0.00133,5.51864
ZINC00028525,0.095759,-0.362299,0.00155,7.38593
ZINC00028531,0.094899,-0.327952,0.00228,4.15508
ZINC00028579,0.094998,-0.309736,0.00217,6.56730
ZINC00028580,0.104214,-0.322054,0.00239,8.25033
ZINC00029150,0.096348,-0.331655,0.00163,3.62243
ZINC00029151,0.097112,-0.333749,0.00164,3.62141
ZINC00029153,0.104716,-0.315890,0.00161,4.52900
ZINC00029154,0.103976,-0.311810,0.00160,4.53863
ZINC00029232,0.097902,-0.335870,0.00197,3.67944
ZINC00029233,0.097608,-0.337267,0.00131,3.85404
ZINC00029234,0.096628,-0.333376,0.00133,3.85801
ZINC00029235,0.095601,-0.332514,0.00133,5.61425
ZINC00029248,0.089097,-0.317015,0.00126,4.38337
ZINC00029249,0.097960,-0.327137,0.00122,4.38126
ZINC00029250,0.097740,-0.327936,0.00124,4.46016
ZINC00029251,0.098582,-0.308347,0.00126,5.85001
ZINC00029252,0.099973,-0.315571,0.00143,5.32137
ZINC00029253,0.098906,-0.312067,0.00143,4.72601
ZINC00029498,0.083599,-0.272358,0.00149,4.07015
ZINC00029499,0.082000,-0.282154,0.00141,4.38545
ZINC00029502,0.089424,-0.313098,0.00143,7.80017
ZINC00029529,0.096428,-0.335365,0.00191,4.80122
ZINC00029530,0.102687,-0.310955,0.00127,5.09790
ZINC00029539,0.082885,-0.287943,0.00152,0.82317
ZINC00029540,0.096413,-0.352830,0.00178,3.72644
ZINC00029566,0.109984,-0.335053,0.00160,4.49091
ZINC00029633,0.087130,-0.310174,0.00137,6.59761
ZINC00029636,0.097256,-0.329158,0.00151,3.72009
ZINC00029652,0.089269,-0.310394,0.00152,4.03169
ZINC00029707,0.095538,-0.328835,0.00133,2.84166
ZINC00029708,0.095080,-0.326928,0.00171,5.44620
ZINC00029709,0.093509,-0.330926,0.00128,3.15926
ZINC00029710,0.092888,-0.329468,0.00125,3.16164
ZINC00029712,0.095581,-0.335016,0.00123,6.66986
ZINC00029714,0.097443,-0.341690,0.00180,5.33564
ZINC00029715,0.095068,-0.334473,0.00115,2.11887
ZINC00029716,0.093866,-0.328934,0.00156,2.39307
ZINC00029717,0.096435,-0.327482,0.00152,1.66325
ZINC00029719,0.097045,-0.339536,0.00137,4.77182
ZINC00029720,0.093511,-0.331376,0.00151,2.77125
ZINC00029721,0.096988,-0.329011,0.00139,2.35137
ZINC00029722,0.097791,-0.338813,0.00142,4.81230
ZINC00029779,0.088230,-0.309996,0.00136,5.11162
ZINC00029804,0.089934,-0.317874,0.00138,5.77220
ZINC00030308,0.092373,-0.256326,0.00140,4.52590
ZINC00030312,0.092370,-0.314747,0.00142,6.27889
ZINC00030347,0.099770,-0.303237,0.00141,5.15900
ZINC00030348,0.100499,-0.305109,0.00142,5.15102
ZINC00030389,0.110043,-0.323050,0.00173,5.24228
ZINC00030398,0.099237,-0.341821,0.00181,5.34695
ZINC00030453,0.094854,-0.352081,0.00184,5.07088
ZINC00030454,0.094772,-0.351756,0.00183,5.06730
ZINC00030490,0.099970,-0.334264,0.00107,5.39457
ZINC00030491,0.100407,-0.335852,0.00147,5.64172
ZINC00030492,0.099820,-0.337224,0.00151,5.74292
ZINC00030531,0.091457,-0.330935,0.00157,4.28258
ZINC00030533,0.085908,-0.321661,0.00137,3.46617
ZINC00030540,0.093865,-0.348442,0.00149,5.81425
ZINC00030651,0.087242,-0.311039,0.00152,6.65019
ZINC00030754,0.095753,-0.334007,0.00119,3.59095
ZINC00030758,0.095740,-0.349954,0.00121,5.60019
ZINC00030759,0.094367,-0.346335,0.00119,5.59661
ZINC00030834,0.085819,-0.283251,0.00168,5.68126
ZINC00030839,0.090290,-0.320123,0.00136,5.72536
ZINC00030877,0.087904,-0.265486,0.00152,6.57157
ZINC00030878,0.087850,-0.266886,0.00156,6.57386
ZINC00030879,0.087202,-0.296389,0.00157,3.28421
ZINC00030880,0.086246,-0.294764,0.00158,3.28096
ZINC00030883,0.093032,-0.334103,0.00147,2.96267
ZINC00030884,0.092484,-0.333307,0.00147,2.96008
ZINC00030893,0.082352,-0.282367,0.00156,5.62113
ZINC00030894,0.081727,-0.279536,0.00157,5.62411
ZINC00030899,0.089909,-0.314883,0.00153,6.09973
ZINC00030900,0.089516,-0.314468,0.00156,6.10143
