mol,q_x,stderr,dipole
ZINC00000061,-0.112825,0.00193,6.94391
ZINC00000134,-0.142776,0.00169,5.40771
ZINC00000135,-0.126484,0.00212,5.40313
ZINC00000136,-0.127905,0.00189,5.57233
ZINC00000178,-0.116817,0.00185,2.38622
ZINC00000267,-0.109442,0.00188,1.89151
ZINC00000290,-0.112596,0.00185,3.96663
ZINC00000463,-0.104860,0.00180,6.07121
ZINC00000563,-0.157454,0.00195,4.46487
ZINC00000887,-0.050138,0.00185,5.33496
ZINC00000999,-0.181553,0.00197,3.49834
ZINC00001008,-0.101365,0.00222,1.56646
ZINC00001116,-0.125972,0.00168,4.30066
ZINC00001122,-0.119200,0.00172,2.17677
ZINC00001124,-0.123739,0.00159,2.48391
ZINC00001130,-0.125507,0.00138,2.59259
ZINC00001132,-0.111158,0.00195,2.02790
ZINC00001192,-0.224923,0.00261,1.38965
ZINC00001209,-0.103860,0.00174,2.25962
ZINC00001469,-0.184641,0.00171,5.30671
ZINC00001577,-0.124113,0.00234,6.53794
ZINC00001627,-0.116789,0.00196,2.52334
ZINC00001640,-0.117425,0.00192,5.23706
ZINC00001807,-0.119508,0.00217,2.54086
ZINC00001815,-0.120083,0.00177,5.27645
ZINC00001885,-0.118431,0.00209,2.37685
ZINC00002088,-0.031025,0.00171,5.63563
ZINC00003421,-0.112726,0.00147,1.90959
ZINC00004152,-0.104500,0.00185,4.35481
ZINC00004285,-0.118293,0.00200,3.51929
ZINC00004618,-0.077071,0.00176,2.66288
ZINC00004726,-0.097212,0.00182,3.22883
ZINC00005160,-0.105343,0.00184,7.50251
ZINC00005262,-0.109535,0.00188,2.75252
ZINC00005921,-0.103948,0.00175,7.33000
ZINC00006038,-0.136044,0.00190,1.78816
ZINC00006642,-0.026014,0.00167,4.71666
ZINC00007573,-0.068720,0.00218,1.16279
ZINC00007580,-0.126179,0.00269,3.54487
ZINC00011304,-0.121683,0.00198,7.70772
ZINC00012803,-0.105154,0.00226,0.76067
ZINC00014479,-0.125157,0.00180,3.84566
ZINC00018298,-0.108676,0.00167,4.09485
ZINC00018299,-0.106026,0.00179,2.37467
ZINC00018720,-0.101890,0.00170,4.04484
ZINC00019526,-0.092262,0.00208,3.60517
ZINC00020228,-0.108968,0.00235,3.98407
ZINC00021238,-0.031595,0.00161,4.63090
ZINC00021858,-0.113428,0.00187,7.88834
ZINC00022040,-0.091248,0.00165,3.68847
ZINC00022043,-0.083635,0.00161,4.85888
ZINC00023689,-0.124134,0.00230,6.18956
ZINC00023745,-0.094038,0.00165,1.58385
ZINC00023885,-0.091069,0.00201,2.07617
ZINC00023886,-0.091303,0.00188,3.41871
ZINC00024217,-0.068836,0.00153,3.76751
ZINC00025294,-0.080390,0.00218,6.23759
ZINC00025451,-0.111516,0.00168,7.04061
ZINC00025696,-0.032360,0.00380,4.59209
ZINC00025879,-0.098989,0.00185,4.56293
ZINC00027660,-0.033776,0.00190,2.12266
ZINC00027725,-0.135460,0.00191,4.30128
ZINC00027803,-0.083345,0.00177,3.80315
ZINC00028159,-0.100747,0.00244,5.69531
ZINC00028221,-0.136759,0.00188,6.70697
ZINC00028243,-0.089626,0.00174,2.64755
ZINC00028344,-0.131963,0.00172,6.09456
ZINC00028347,-0.172560,0.00203,4.31026
ZINC00028348,-0.133469,0.00170,2.39407
ZINC00028360,-0.111906,0.00158,2.48496
ZINC00028500,-0.097654,0.00164,5.49060
ZINC00028525,-0.137044,0.00196,7.44755
ZINC00028531,-0.106767,0.00259,4.19428
ZINC00028579,-0.087577,0.00250,6.55321
ZINC00028580,-0.071764,0.00268,8.26991
ZINC00029150,-0.109659,0.00200,3.65219
ZINC00029151,-0.110453,0.00201,3.65041
ZINC00029153,-0.082003,0.00206,4.59830
ZINC00029154,-0.078943,0.00204,4.60672
ZINC00029232,-0.109480,0.00230,3.69047
ZINC00029233,-0.111380,0.00176,3.87320
ZINC00029234,-0.109262,0.00177,3.87957
ZINC00029235,-0.110258,0.00176,5.66391
ZINC00029248,-0.098150,0.00173,4.35092
ZINC00029249,-0.098593,0.00165,4.39389
ZINC00029250,-0.092164,0.00170,4.46420
ZINC00029251,-0.079888,0.00169,5.92661
ZINC00029252,-0.080865,0.00185,5.38792
ZINC00029253,-0.078893,0.00185,4.78971
ZINC00029498,-0.090728,0.00177,3.99432
ZINC00029499,-0.096103,0.00170,4.34409
ZINC00029502,-0.101120,0.00183,7.80487
ZINC00029529,-0.114542,0.00241,4.92527
ZINC00029530,-0.075182,0.00174,5.16465
ZINC00029539,-0.092205,0.00178,0.83039
ZINC00029540,-0.127822,0.00214,3.78997
ZINC00029566,-0.084003,0.00210,4.56375
ZINC00029633,-0.108967,0.00172,6.65350
ZINC00029636,-0.105390,0.00193,3.79346
ZINC00029652,-0.105076,0.00187,4.08850
ZINC00029707,-0.110616,0.00175,2.83277
ZINC00029708,-0.112530,0.00206,5.51138
ZINC00029709,-0.112705,0.00172,3.16163
ZINC00029710,-0.112651,0.00169,3.16494
ZINC00029712,-0.114706,0.00167,6.73525
ZINC00029714,-0.113662,0.00219,5.40289
ZINC00029715,-0.114590,0.00163,2.09625
ZINC00029716,-0.114964,0.00194,2.36074
ZINC00029717,-0.108409,0.00194,1.64954
ZINC00029719,-0.116071,0.00178,4.82765
ZINC00029720,-0.112711,0.00188,2.77447
ZINC00029721,-0.105533,0.00184,2.33739
ZINC00029722,-0.114802,0.00185,4.89513
ZINC00029779,-0.106371,0.00173,5.16091
ZINC00029804,-0.108743,0.00176,5.80636
ZINC00030308,-0.032427,0.00183,4.48709
ZINC00030312,-0.099694,0.00184,6.29719
ZINC00030347,-0.074084,0.00180,5.22662
ZINC00030348,-0.073909,0.00182,5.21890
ZINC00030389,-0.078950,0.00219,5.37151
ZINC00030398,-0.114318,0.00217,5.42411
ZINC00030453,-0.127837,0.00216,5.10275
ZINC00030454,-0.128203,0.00216,5.09803
ZINC00030490,-0.103236,0.00157,5.43068
ZINC00030491,-0.102129,0.00183,5.66886
ZINC00030492,-0.104755,0.00187,5.77087
ZINC00030531,-0.117298,0.00191,4.30532
ZINC00030533,-0.116574,0.00177,3.47527
ZINC00030540,-0.130129,0.00184,5.85462
ZINC00030651,-0.112673,0.00179,6.70902
ZINC00030754,-0.110044,0.00163,3.53386
ZINC00030758,-0.128092,0.00162,5.66474
ZINC00030759,-0.126858,0.00159,5.66039
ZINC00030834,-0.103544,0.00182,5.78571
ZINC00030839,-0.108599,0.00173,5.76414
ZINC00030877,-0.062500,0.00177,6.64104
ZINC00030878,-0.064060,0.00180,6.64292
ZINC00030879,-0.109476,0.00177,3.31976
ZINC00030880,-0.108872,0.00177,3.31619
ZINC00030883,-0.114002,0.00181,2.95243
ZINC00030884,-0.114246,0.00180,2.94824
ZINC00030893,-0.105654,0.00173,5.70369
ZINC00030894,-0.104143,0.00173,5.70619
ZINC00030899,-0.110953,0.00181,6.18715
ZINC00030900,-0.111490,0.00183,6.18885
ZINC00030945,-0.095520,0.00184,0.60339
ZINC00030948,-0.106258,0.00212,3.63703
ZINC00030954,-0.076915,0.00174,5.78174
ZINC00030955,-0.080305,0.00178,5.78864
ZINC00031213,-0.107463,0.00219,3.73040
ZINC00031297,-0.123892,0.00166,0.82182
ZINC00031299,-0.127934,0.00190,4.79537
ZINC00031316,-0.146089,0.00202,1.84645
ZINC00031536,-0.113161,0.00176,3.89248
ZINC00031541,-0.106406,0.00219,6.67816
ZINC00031791,-0.112881,0.00169,3.78919
ZINC00032072,-0.125142,0.00193,6.12335
ZINC00032325,-0.081261,0.00220,5.84346
ZINC00032394,-0.080263,0.00173,6.78810
ZINC00032508,-0.038135,0.00182,4.41671
ZINC00032540,-0.085346,0.00153,3.54890
ZINC00032830,-0.072413,0.00219,5.39389
ZINC00032955,-0.051643,0.00169,0.57405
ZINC00033496,-0.105155,0.00179,1.76562
ZINC00034175,-0.088628,0.00171,7.22931
ZINC00034630,-0.089034,0.00195,7.67586
ZINC00035015,-0.098046,0.00171,0.34034
ZINC00035154,-0.107122,0.00204,1.22805
ZINC00035192,-0.058222,0.00191,7.14284
ZINC00035200,-0.096663,0.00183,0.72733
ZINC00035201,-0.094868,0.00174,0.64801
ZINC00035307,-0.120130,0.00178,4.30323
ZINC00035399,-0.033021,0.00216,1.74345
ZINC00035727,-0.101322,0.00232,4.66857
ZINC00035749,-0.110181,0.00182,2.81807
ZINC00035754,-0.041335,0.00217,4.08736
ZINC00035762,-0.158346,0.00207,2.16079
ZINC00035783,0.021591,0.00187,3.36575
ZINC00035807,-0.067754,0.00183,5.64760
ZINC00035808,-0.072380,0.00211,7.11713
ZINC00035809,-0.105554,0.00218,2.44654
ZINC00035825,-0.082976,0.00186,2.73619
ZINC00035826,-0.121566,0.00249,2.48523
ZINC00035827,-0.124342,0.00215,2.14273
ZINC00035828,-0.108600,0.00244,7.27383
ZINC00035873,-0.021158,0.00184,1.42578
ZINC00036011,-0.126484,0.00228,4.15327
ZINC00036024,-0.117976,0.00169,3.65972
ZINC00036085,-0.101550,0.00173,4.43807
ZINC00036164,-0.103112,0.00182,4.79554
ZINC00036168,-0.079785,0.00178,4.03293
ZINC00036433,-0.091528,0.00194,4.61219
ZINC00036444,-0.014804,0.00217,3.08604
ZINC00036449,-0.051954,0.00260,5.66343
ZINC00036608,-0.012378,0.00197,7.77781
ZINC00037046,-0.105959,0.00195,5.36395
ZINC00037158,-0.066098,0.00166,3.77890
