name,type,nb_distance,distance,q_std,q_mod
C1,c3,5,6.713286304039178,-0.035823,-0.021611
O1,os,4,5.515237982172664,-0.384417,-0.37213
C2,cc,3,4.357441106888308,0.604031,0.586872
C3,cc,2,3.132958505949289,0.174915,0.015108
C4,cd,1,2.094957994805624,-0.426224,-0.145459
S1,ss,2,3.358216937602453,0.232692,0.20439
N1,nd,3,4.560584392377802,-0.459205,-0.467188
I1,i,0,0.0,0.197925,-0.074273
C5,cg,3,3.547064420052165,0.214011,0.286685
N2,n1,4,4.233543787419707,-0.393229,-0.40737
H1,h1,6,6.881111029477726,0.091775,0.089002
H2,h1,6,6.881140094490156,0.091775,0.089002
H3,h1,6,7.525533203700586,0.091775,0.089002
X,x,-1,-1.0,0.0,0.127969
