mol,dipole_qm
ZINC00000238,4.47470
ZINC00000344,4.63320
ZINC00001575,6.57360
ZINC00008678,2.95860
ZINC00013615,4.00780
ZINC00013616,3.37870
ZINC00014362,4.01710
ZINC00016193,6.13860
ZINC00018493,2.96910
ZINC00027842,6.39470
ZINC00027887,3.08710
ZINC00027888,3.08710
ZINC00028474,6.14140
ZINC00029988,5.77090
ZINC00032377,6.65020
ZINC00033142,2.60300
ZINC00033175,3.76720
ZINC00033275,3.76650
ZINC00033290,1.41180
ZINC00033530,4.53920
ZINC00033531,4.19750
ZINC00033532,4.19460
ZINC00033533,4.53930
ZINC00033651,3.34560
ZINC00033741,8.14230
ZINC00034198,5.02310
ZINC00035731,3.54560
ZINC00037174,3.21980
ZINC00037711,5.16040
ZINC00039651,4.14470
ZINC00039675,7.29420
ZINC00039870,6.42970
ZINC00039871,7.92290
ZINC00039872,7.92240
ZINC00039873,4.92660
ZINC00040691,3.39010
ZINC00040856,3.13880
ZINC00046043,4.12850
ZINC00046078,5.80000
ZINC00046195,4.44460
ZINC00046401,4.27270
ZINC00046415,6.27250
ZINC00047487,4.94290
ZINC00047745,4.21230
ZINC00047877,3.61790
ZINC00048383,5.49520
ZINC00048567,5.15220
ZINC00049647,7.24640
ZINC00050315,4.34700
ZINC00054667,3.13110
ZINC00054774,1.43660
ZINC00054778,3.79560
ZINC00054848,2.67810
ZINC00055205,4.41030
ZINC00055240,3.52720
ZINC00055417,5.27990
ZINC00055486,4.16740
ZINC00055722,4.08830
ZINC00058569,5.34510
ZINC00058680,5.00760
ZINC00060933,2.48580
ZINC00061255,2.14940
ZINC00061485,6.30380
ZINC00061488,3.99140
ZINC00061500,3.43470
ZINC00061524,4.88310
ZINC00061712,4.72220
ZINC00061831,4.08070
ZINC00062367,3.98410
ZINC00064893,3.09250
ZINC00064984,2.48920
ZINC00065135,3.06750
ZINC00065168,2.91050
ZINC00065264,2.48800
ZINC00065287,6.12290
ZINC00065563,6.51390
ZINC00065941,2.58470
ZINC00067741,2.05020
ZINC00069104,7.49950
ZINC00069721,5.30780
ZINC00070357,4.97810
ZINC00072107,5.15350
ZINC00073793,2.01950
ZINC00073795,2.02020
ZINC00075470,6.26330
ZINC00077745,7.90040
ZINC00078154,4.13600
ZINC00078210,5.89820
ZINC00078961,4.85810
ZINC00080446,3.58580
ZINC00081090,4.48720
ZINC00083425,4.80610
ZINC00083728,2.28240
ZINC00085085,3.18870
ZINC00085137,5.35490
ZINC00085138,5.31380
ZINC00085759,7.16250
ZINC00085761,5.38330
ZINC00086078,4.52570
ZINC00086079,4.52570
ZINC00088350,3.87070
ZINC00088594,4.82120
ZINC00088695,2.26100
ZINC00089487,4.17570
ZINC00089580,4.53540
ZINC00090497,4.93920
ZINC00091662,1.86030
ZINC00095891,8.58240
ZINC00096675,4.06470
ZINC00096770,3.84470
ZINC00096957,5.64120
ZINC00099830,2.70840
ZINC00101085,3.37190
ZINC00101326,1.60360
ZINC00102535,5.03220
ZINC00102538,5.03210
ZINC00106247,3.41420
ZINC00106611,2.85130
ZINC00106621,3.64620
ZINC00106654,5.48490
ZINC00106663,5.73050
ZINC00106871,2.65100
ZINC00107846,2.70310
ZINC00108013,3.57500
ZINC00111660,4.57840
ZINC00112238,3.39730
ZINC00116082,6.67400
ZINC00117156,4.96960
ZINC00117579,6.26990
ZINC00125057,3.07700
ZINC00125060,3.11630
ZINC00125546,4.09820
ZINC00128847,2.19740
ZINC00128850,4.92810
ZINC00129211,5.08650
ZINC00129217,3.53950
ZINC00129219,6.04270
ZINC00130052,7.19390
ZINC00130079,4.33550
ZINC00131366,5.82550
ZINC00131519,1.97810
ZINC00131520,2.86780
ZINC00131521,3.57390
ZINC00131523,3.57700
ZINC00133137,5.83070
ZINC00133555,4.65180
ZINC00134014,8.55470
ZINC00134015,7.71410
ZINC00134801,3.85300
ZINC00136124,8.50570
ZINC00138621,0.72500
ZINC00140295,6.07700
