distance,dq
4.29342,-0.01160
4.03216,0.06085
3.66921,-0.01478
3.46599,0.02281
3.13667,-0.15478
4.10337,0.01377
3.41210,0.03590
2.19724,0.25099
0.00000,-0.16431
5.46127,-0.02828
5.70185,-0.00493
4.55243,-0.00160
5.27533,-0.00160
2.70530,-0.04988
2.70084,-0.04988
5.95222,0.00548
6.10208,0.00548
6.65661,0.00388
-1.00000,0.08247
3.09204,-0.13449
2.22909,0.22482
2.69621,-0.02597
3.08751,-0.12305
3.19215,0.03322
4.38276,0.00881
5.25726,-0.04628
4.63077,-0.04001
4.65964,0.01037
3.41061,0.06405
5.68453,-0.00995
5.67646,0.01090
0.00000,-0.24412
3.25738,0.03123
3.20768,0.03123
4.08772,0.03123
5.88231,0.01842
6.01888,0.01842
5.81275,0.00573
6.64876,0.00573
6.43211,-0.00372
-1.00000,0.13344
4.40686,-0.03464
4.91474,0.00300
4.39280,0.00019
3.08114,-0.15340
2.13385,0.34522
3.07083,-0.11507
3.19073,0.06425
0.00000,-0.31403
5.58614,0.02547
6.07319,-0.04506
6.58978,0.00300
7.40159,0.01682
7.60753,-0.00272
8.48641,-0.00480
5.46206,0.01306
6.00265,0.00263
5.23323,0.01200
3.11449,0.04306
5.63075,0.00009
6.48268,0.00009
6.10475,0.00301
6.74353,0.00301
8.22508,0.00336
4.16040,-0.01429
-1.00000,0.14573
6.39911,-0.00301
5.62425,0.04097
5.68363,-0.00301
4.40801,-0.06944
3.07998,-0.11271
2.15089,0.31244
3.08347,-0.11271
4.40879,-0.06944
4.91264,0.06628
6.28551,-0.00588
5.63250,0.04097
5.70925,-0.00301
6.37223,-0.00301
0.00000,-0.28510
5.98351,-0.00052
7.36374,-0.00052
6.72046,-0.00052
6.40013,-0.00653
5.43760,-0.00052
6.76090,-0.00052
5.27824,-0.00052
3.12865,0.04855
3.13455,0.04855
6.70659,-0.00074
6.40687,-0.00653
6.78819,-0.00052
5.48629,-0.00052
5.30252,-0.00052
6.69384,-0.00052
7.33751,-0.00052
5.94275,-0.00052
-1.00000,0.12961
4.40392,-0.05337
3.08900,-0.09768
2.14700,0.30691
3.08900,-0.09768
4.40392,-0.05337
4.95900,0.02711
6.33500,0.02577
0.00000,-0.30056
5.23421,0.02000
3.15845,0.03769
3.15845,0.03769
5.23421,0.02000
6.90985,-0.00935
6.90985,-0.00935
-1.00000,0.14619
4.38851,-0.04830
4.92316,0.04287
4.40578,-0.07601
3.06946,-0.11389
2.15222,0.31150
3.07875,-0.09863
0.00000,-0.28403
5.47781,0.07500
5.22860,0.01706
6.01065,-0.00227
3.12516,0.04516
3.15080,0.03526
6.40453,-0.01953
5.52021,-0.01953
-1.00000,0.13535
4.39711,-0.06018
3.08002,-0.08841
2.14300,0.31322
3.08019,-0.08841
4.39723,-0.06018
4.92800,0.01924
6.35400,0.04459
7.26242,-0.02132
7.16968,0.00590
8.61285,0.00102
8.61196,0.00102
7.26143,-0.02132
7.16867,0.00590
0.00000,-0.31556
5.22659,0.01909
3.14991,0.03564
3.15020,0.03564
5.22639,0.01909
9.51745,0.00103
9.51655,0.00103
-1.00000,0.15298
3.40305,0.02351
4.74748,-0.00325
5.74940,0.01144
6.93536,-0.00424
5.53742,0.00850
4.42722,-0.01810
3.10988,-0.12149
2.15682,0.34463
3.07731,-0.18709
4.40620,0.00500
4.94875,0.01048
3.27627,0.10513
0.00000,-0.28613
2.87963,0.01457
5.32643,-0.00368
5.23521,0.00759
6.03400,-0.00125
2.77665,-0.01884
4.27201,-0.01884
-1.00000,0.13209
4.91783,0.02408
4.39336,-0.04612
3.06804,-0.11153
2.14035,0.37514
3.08936,-0.23229
4.40295,0.01408
3.16057,0.12282
4.56913,-0.03288
5.38723,-0.01072
5.85463,0.00119
5.15757,0.00119
4.95958,-0.01072
0.00000,-0.33933
6.00429,-0.00299
5.22042,0.01775
3.11046,0.04168
5.24970,0.00381
5.12654,0.01064
5.03689,0.00424
6.34234,0.00424
6.89174,0.00054
6.01503,0.00054
5.96303,0.00054
4.33135,0.00054
6.00935,0.00424
4.51975,0.00424
-1.00000,0.15507
11.44508,-0.00085
11.86256,0.00352
11.00067,-0.00872
9.66613,0.01454
9.16839,-0.01036
10.10418,0.00322
7.68611,0.00948
7.35775,0.00360
6.99883,-0.01506
5.65659,-0.00752
5.39584,0.07967
4.17193,-0.14957
4.29592,0.04271
3.16543,-0.17901
2.09392,0.37802
2.96854,-0.01410
0.00000,-0.36024
12.24038,0.00002
12.93105,-0.00042
11.48869,0.00090
9.86018,-0.00229
7.67390,-0.00721
6.30272,-0.00695
5.31681,0.00800
3.46324,0.04579
-1.00000,0.17283
9.89295,0.00750
9.32435,-0.00763
8.05930,0.00612
7.29908,-0.00515
7.87311,0.00612
9.16844,-0.00763
5.99255,0.00943
5.03624,-0.01728
5.29301,0.00877
4.57657,-0.01984
3.14724,-0.15004
3.23981,0.02034
3.77518,0.02633
2.20563,0.52422
0.00000,-0.26824
10.95485,-0.00131
10.01851,0.00141
9.75441,0.00141
5.89128,-0.00621
4.75202,0.00417
5.27563,0.00417
2.68760,-0.12981
2.70603,-0.12981
-1.00000,0.12298
9.89295,0.00667
9.32435,-0.00670
8.05926,0.00560
7.29908,-0.00528
7.87311,0.00560
9.16844,-0.00670
5.99244,0.00752
5.03624,-0.01461
5.29301,0.01273
4.57657,-0.03632
3.14724,-0.14427
3.23981,0.02504
3.77518,0.02745
2.20563,0.47273
0.00000,-0.26172
10.95480,-0.00120
10.01851,0.00123
9.75441,0.00123
5.89128,-0.00490
5.27563,0.00916
4.75202,0.00916
2.70517,-0.11314
2.68728,-0.11314
-1.00000,0.12386
11.40586,0.01021
10.08237,-0.00763
9.13823,0.00270
10.11142,0.00514
11.55327,-0.00864
7.66603,0.00428
7.27252,0.00462
6.99524,-0.01544
5.65481,-0.00594
5.39434,0.07816
4.17051,-0.14729
4.29549,0.04422
3.16496,-0.18019
2.09272,0.37631
2.96743,-0.01613
0.00000,-0.35562
12.30031,-0.00197
9.90625,-0.00017
12.51096,0.00157
7.63862,-0.00443
6.30050,-0.00750
5.31603,0.00760
3.46304,0.04579
-1.00000,0.17036
10.89614,-0.00687
9.90566,0.00878
8.68151,-0.00678
8.98632,-0.00141
10.34699,0.00574
7.32417,-0.00821
7.30820,0.00022
6.34454,0.03233
4.94016,0.00631
4.39502,-0.03615
3.08344,-0.11220
2.14408,0.32192
3.08286,-0.11220
4.40449,-0.03615
0.00000,-0.30424
11.96453,0.00130
10.16255,-0.00159
10.86388,-0.00113
6.81035,-0.00991
5.22770,0.01649
3.15794,0.04012
3.14973,0.04012
5.23832,0.01649
-1.00000,0.14702
4.93975,0.05356
4.37578,-0.06632
3.04346,-0.09138
2.14717,0.34058
3.13030,-0.14346
4.43310,-0.04045
3.43751,0.04209
3.42757,0.00766
4.44265,0.00949
5.44777,-0.01292
6.52833,0.00802
7.65810,0.00219
7.88470,-0.00629
6.99793,0.00801
5.73810,-0.00226
7.58634,-0.00166
0.00000,-0.33003
6.02533,-0.00663
5.18780,0.02003
3.06579,0.03958
5.28148,0.01182
4.70852,0.00738
6.65615,-0.00473
8.53039,-0.00049
8.87563,0.00102
5.22859,-0.00264
-1.00000,0.15785
3.59686,-0.03143
3.13703,-0.17129
2.10464,0.49684
3.17182,-0.29147
4.27635,0.01787
4.27415,0.03377
3.84915,0.14561
5.17205,-0.01988
6.15066,-0.01512
6.01738,-0.00809
4.93850,0.02441
3.69843,-0.07393
5.58530,0.00526
6.93091,-0.01572
7.13015,0.00864
0.00000,-0.39121
3.48690,0.01991
3.53000,0.01991
4.67654,0.01991
5.62684,0.00987
7.16279,0.00522
2.99062,0.03278
7.60062,0.00248
7.35937,0.00248
-1.00000,0.17321
4.39412,-0.03974
3.08143,-0.10580
2.14518,0.31795
3.08644,-0.10580
4.40696,-0.03974
4.94133,0.00665
6.34912,0.03479
7.33855,-0.00757
7.30087,0.00067
8.74289,-0.02853
9.79567,0.01002
9.73838,-0.00068
11.05041,0.00094
12.18258,-0.00044
12.28478,0.00094
11.20599,-0.00068
0.00000,-0.30118
5.22489,0.01717
3.15286,0.03751
3.15497,0.03751
5.24259,0.01717
6.79840,-0.01050
9.11982,0.00744
8.84145,0.00744
9.80088,0.00035
9.79498,0.00006
8.88814,0.00006
11.13094,-0.00054
11.24919,-0.00054
12.39116,-0.00054
13.26362,-0.00054
11.48473,0.00006
11.34599,0.00006
-1.00000,0.14602
7.76110,-0.00548
6.68388,-0.01444
7.01088,0.01971
6.00793,-0.02370
4.94262,-0.00476
5.47975,0.01541
3.70811,0.09115
3.54799,-0.00188
3.21041,-0.27609
2.10468,0.44928
3.10389,-0.14809
4.24112,-0.03069
4.32865,0.05893
