mol,n_atoms,max_dist,type1,d0num,d0mean,d0std,d1num,d1mean,d1std,d2num,d2mean,d2std,d3num,d3mean,d3std,d4num,d4mean,d4std
ZINC00000238,19,7,c3,1,-0.16431,nan,1,0.25099,nan,3,-0.08484,0.06056,3,0.02416,0.01113,2,0.02462,0.05123
ZINC00000344,22,7,c3,1,-0.24412,nan,1,0.22482,nan,3,-0.09450,0.05962,6,0.03329,0.01765,2,-0.04314,0.00443
ZINC00001575,25,8,ca,1,-0.31403,nan,1,0.34522,nan,2,-0.13423,0.02710,4,0.01821,0.04418,4,0.00655,0.01668
ZINC00008678,32,7,ca,1,-0.28510,nan,1,0.31244,nan,2,-0.11271,0.00000,4,-0.01045,0.06812,3,0.04941,0.01461
ZINC00013615,15,7,ca,1,-0.30056,nan,1,0.30691,nan,2,-0.09768,0.00000,4,-0.00784,0.05257,3,0.02237,0.00410
ZINC00013616,15,6,ca,1,-0.28403,nan,1,0.31150,nan,2,-0.10626,0.01079,4,-0.01097,0.06031,3,0.04497,0.02903
ZINC00014362,21,10,ca,1,-0.31556,nan,1,0.31322,nan,2,-0.08841,0.00000,4,-0.01227,0.05532,3,0.01914,0.00009
ZINC00016193,20,7,ca,1,-0.28613,nan,1,0.34463,nan,2,-0.15429,0.04639,4,0.02889,0.05361,7,0.00003,0.01398
ZINC00018493,27,7,ca,1,-0.33933,nan,1,0.37514,nan,2,-0.17191,0.08539,4,0.03311,0.07014,4,0.00319,0.02549
ZINC00027842,26,13,cc,1,-0.36024,nan,1,0.37802,nan,2,-0.09655,0.11661,3,-0.02035,0.11191,2,0.04383,0.05068
ZINC00027887,24,11,c3,1,-0.26824,nan,1,0.52422,nan,3,-0.13655,0.01168,3,0.00894,0.02511,4,-0.00005,0.01169
ZINC00027888,24,11,c3,1,-0.26172,nan,1,0.47273,nan,3,-0.12352,0.01797,3,0.00539,0.03614,4,0.00411,0.01259
ZINC00028474,24,13,cc,1,-0.35562,nan,1,0.37631,nan,2,-0.09816,0.11601,3,-0.01910,0.11102,2,0.04288,0.04989
ZINC00029988,24,12,ca,1,-0.30424,nan,1,0.32192,nan,2,-0.11220,0.00000,4,0.00199,0.04404,3,0.01309,0.00588
ZINC00032377,27,9,ca,1,-0.33003,nan,1,0.34058,nan,2,-0.11742,0.03682,4,-0.00628,0.05542,5,0.02051,0.01907
ZINC00033142,25,8,cc,1,-0.39121,nan,1,0.49684,nan,2,-0.23138,0.08498,4,0.04146,0.07478,5,-0.00682,0.04128
ZINC00033175,34,13,ca,1,-0.30118,nan,1,0.31795,nan,2,-0.10580,0.00000,4,-0.00112,0.04460,3,0.01367,0.00608
ZINC00033275,28,9,cc,1,-0.33864,nan,1,0.44928,nan,2,-0.21209,0.09051,4,0.03909,0.05157,3,0.00918,0.02170
ZINC00033290,24,11,ca,1,-0.29541,nan,1,0.29668,nan,2,-0.08558,0.00000,4,-0.01272,0.05397,3,0.02494,0.00918
ZINC00033530,26,10,ca,1,-0.30526,nan,1,0.33258,nan,2,-0.11552,0.00654,4,-0.00385,0.05649,3,0.03416,0.02237
ZINC00033531,26,9,ca,1,-0.30606,nan,1,0.31442,nan,2,-0.09340,0.00312,4,-0.01838,0.06634,3,0.03971,0.02224
