mol,q_sigma,q_x,stderr,dipole
ZINC00000238,0.082471,-0.234367,0.00121,4.51073
ZINC00000344,0.133436,-0.408078,0.00131,4.71488
ZINC00001575,0.145729,-0.294885,0.00100,6.55684
ZINC00008678,0.129614,-0.325800,0.00136,3.08593
ZINC00013615,0.146188,-0.366369,0.00071,4.05462
ZINC00013616,0.135354,-0.314455,0.00075,3.43141
ZINC00014362,0.152984,-0.350370,0.00085,4.06166
ZINC00016193,0.132087,-0.282328,0.00091,6.14083
ZINC00018493,0.155075,-0.382075,0.00113,2.97123
ZINC00027842,0.172829,-0.281718,0.00138,6.44795
ZINC00027887,0.122979,-0.356668,0.00159,3.10272
ZINC00027888,0.123860,-0.360305,0.00160,3.10423
ZINC00028474,0.170363,-0.270468,0.00161,6.23344
ZINC00029988,0.147021,-0.357972,0.00136,5.89895
ZINC00032377,0.157845,-0.315287,0.00097,6.68835
ZINC00033142,0.173207,-0.357461,0.00129,2.59235
ZINC00033175,0.146018,-0.345059,0.00140,3.85023
ZINC00033275,0.151088,-0.282757,0.00120,3.78212
ZINC00033290,0.142749,-0.327354,0.00092,1.42167
ZINC00033530,0.143286,-0.322607,0.00213,4.82308
ZINC00033531,0.146883,-0.316064,0.00173,4.14661
ZINC00033532,0.142936,-0.306741,0.00168,4.14416
ZINC00033533,0.144411,-0.324880,0.00211,4.81271
ZINC00033651,0.127969,-0.074273,0.00159,3.47895
ZINC00033741,0.190881,-0.401118,0.00101,8.22938
ZINC00034198,0.153974,-0.310626,0.00093,5.08159
ZINC00035731,0.170814,-0.313552,0.00098,3.55142
ZINC00037174,0.143178,-0.290976,0.00102,3.26970
ZINC00037711,0.134485,-0.312130,0.00098,5.20194
ZINC00039651,0.144440,-0.305180,0.00063,4.22701
ZINC00039675,0.145965,-0.341378,0.00141,7.46417
ZINC00039870,0.169102,-0.342354,0.00103,6.46425
ZINC00039871,0.166413,-0.339075,0.00113,7.94559
ZINC00039872,0.169488,-0.347693,0.00113,7.94261
ZINC00039873,0.173977,-0.339693,0.00137,5.10807
ZINC00040691,0.145946,-0.351709,0.00116,3.46518
ZINC00040856,0.145097,-0.329708,0.00114,3.14302
ZINC00046043,0.138322,-0.328789,0.00101,4.23760
ZINC00046078,0.127309,-0.287719,0.00122,5.96614
ZINC00046195,0.133793,-0.313370,0.00128,4.47330
ZINC00046401,0.156639,-0.339596,0.00111,4.27275
ZINC00046415,0.169607,-0.364025,0.00163,6.64018
ZINC00047487,0.134553,-0.319496,0.00143,5.06584
ZINC00047745,0.124258,-0.234807,0.00099,4.23127
ZINC00047877,0.156013,-0.351120,0.00134,3.63412
ZINC00048383,0.148708,-0.200047,0.00194,5.55283
ZINC00048567,0.125320,-0.289340,0.00103,5.20182
