mol,q_x,stderr,dipole
ZINC00000238,-0.070059,0.00137,4.54637
ZINC00000344,-0.163958,0.00154,4.74889
ZINC00001575,0.019148,0.00127,6.56620
ZINC00008678,-0.040702,0.00160,3.02411
ZINC00013615,-0.065807,0.00126,4.13448
ZINC00013616,-0.030430,0.00117,3.49266
ZINC00014362,-0.034812,0.00128,4.13470
ZINC00016193,0.003802,0.00114,6.12058
ZINC00018493,-0.042740,0.00140,3.01397
ZINC00027842,0.078522,0.00170,6.53833
ZINC00027887,-0.088425,0.00182,3.16946
ZINC00027888,-0.098589,0.00184,3.17619
ZINC00028474,0.085148,0.00188,6.32063
ZINC00029988,-0.053731,0.00163,5.95988
ZINC00032377,0.014747,0.00133,6.76265
ZINC00033142,0.033749,0.00157,2.59859
ZINC00033175,-0.043883,0.00163,3.91341
ZINC00033275,0.055884,0.00147,3.82145
ZINC00033290,-0.031947,0.00126,1.38080
ZINC00033530,-0.017345,0.00228,4.80484
ZINC00033531,-0.010005,0.00192,4.09792
ZINC00033532,-0.007746,0.00187,4.09998
ZINC00033533,-0.018412,0.00226,4.79024
ZINC00033651,0.197925,0.00184,3.54618
ZINC00033741,0.034562,0.00136,8.31793
ZINC00034198,0.013819,0.00127,5.15082
ZINC00035731,0.056386,0.00143,3.61570
ZINC00037174,0.010627,0.00134,3.32995
ZINC00037711,-0.032806,0.00132,5.29111
ZINC00039651,-0.005443,0.00115,4.22028
ZINC00039675,-0.038618,0.00167,7.49750
ZINC00039870,0.020293,0.00138,6.44553
ZINC00039871,0.022397,0.00150,7.90449
ZINC00039872,0.020723,0.00152,7.89876
ZINC00039873,0.038730,0.00167,5.12969
ZINC00040691,-0.050527,0.00144,3.54170
ZINC00040856,-0.028389,0.00145,3.11139
ZINC00046043,-0.042867,0.00130,4.26350
ZINC00046078,-0.024251,0.00135,6.01188
ZINC00046195,-0.036216,0.00152,4.51493
ZINC00046401,-0.015100,0.00147,4.20614
